row_label_raw,row_label_full,Năm kết thúc ngày 31 tháng 12 năm 2015,Trụ sở làm việc Triệu VND,Thiết bị văn phòng Triệu VND,Phương tiện vận chuyển Triệu VND,Tài sản cố định khác Triệu VND,Tổng Triệu VND,numeric__Trụ sở làm việc Triệu VND,numeric__Thiết bị văn phòng Triệu VND,numeric__Phương tiện vận chuyển Triệu VND,numeric__Tài sản cố định khác Triệu VND,numeric__Tổng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,2.031.577,814.848,318.306,161.067,3.325.798,2031577.0,814848.0,318306.0,161067.0,3325798.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,79.075,-,6.429,85.504,,79075.0,,6429.0,85504.0
Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,68.359,403,-,1.435,70.197,68359.0,403.0,,1435.0,70197.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(253.000),(27.696),(70.427),(3.277),(354.400),-253000.0,-27696.0,-70427.0,-3277.0,-354400.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,-,40,-,(40),-,,40.0,,-40.0,
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,1.846.936,866.670,247.879,165.614,3.127.099,1846936.0,866670.0,247879.0,165614.0,3127099.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,211.545,522.969,165.136,95.389,995.039,211545.0,522969.0,165136.0,95389.0,995039.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,45.377,116.830,21.824,13.656,197.687,45377.0,116830.0,21824.0,13656.0,197687.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(7.407),(27.544),(30.063),(3.020),(68.034),-7407.0,-27544.0,-30063.0,-3020.0,-68034.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,249.515,612.255,156.897,106.025,1.124.692,249515.0,612255.0,156897.0,106025.0,1124692.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,1.820.032,291.879,153.170,65.678,2.330.759,1820032.0,291879.0,153170.0,65678.0,2330759.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,1.597.421,254.415,90.982,59.589,2.002.407,1597421.0,254415.0,90982.0,59589.0,2002407.0
