row_label_raw,row_label_full,Năm kết thúc ngày 31 tháng 12 năm 2016,Trụ sở làm việc Triệu VND,Thiết bị văn phòng Triệu VND,Phương tiện vận chuyển Triệu VND,Tài sản cố định khác Triệu VND,Tổng Triệu VND,numeric__Trụ sở làm việc Triệu VND,numeric__Thiết bị văn phòng Triệu VND,numeric__Phương tiện vận chuyển Triệu VND,numeric__Tài sản cố định khác Triệu VND,numeric__Tổng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,1.846.936,866.670,247.879,165.614,3.127.099,1846936.0,866670.0,247879.0,165614.0,3127099.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,289,191.668,14.693,6.341,212.991,289.0,191668.0,14693.0,6341.0,212991.0
Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,235.517,1.280,30.484,4.858,272.139,235517.0,1280.0,30484.0,4858.0,272139.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(21.761),(7.513),(2.688),(31.962),,-21761.0,-7513.0,-2688.0,-31962.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,74,(801),72,655,-,74.0,-801.0,72.0,655.0,
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,2.082.816,1.037.056,285.615,174.780,3.580.267,2082816.0,1037056.0,285615.0,174780.0,3580267.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,249.515,612.255,156.897,106.025,1.124.692,249515.0,612255.0,156897.0,106025.0,1124692.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,47.940,111.238,20.512,23.690,203.380,47940.0,111238.0,20512.0,23690.0,203380.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,(21.171),(7.134),(2.644),(30.949),,-21171.0,-7134.0,-2644.0,-30949.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,297.455,702.322,170.275,127.071,1.297.123,297455.0,702322.0,170275.0,127071.0,1297123.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,1.597.421,254.415,90.982,59.589,2.002.407,1597421.0,254415.0,90982.0,59589.0,2002407.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,1.785.361,334.734,115.340,47.709,2.283.144,1785361.0,334734.0,115340.0,47709.0,2283144.0
