row_label_raw,row_label_full,Năm 2016 > Thuế giá trị gia tăng,Số dưđầu nămTriệu VND > 8.018,Phát sinh trong năm > Số phải nộpTriệu VND > 111.780,Phát sinh trong năm > Số đã nộpTriệu VND > (107.784),Số dưcuối nămTriệu VND > 12.014,numeric__Số dưđầu nămTriệu VND > 8.018,numeric__Phát sinh trong năm > Số phải nộpTriệu VND > 111.780,numeric__Phát sinh trong năm > Số đã nộpTriệu VND > (107.784),numeric__Số dưcuối nămTriệu VND > 12.014
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,22.321,289.986,(333.620),(21.313),22321.0,289986.0,-333620.0,-21313.0
Thuế nhà – đất,Thuế nhà – đất,Thuế nhà – đất,1,6,(7),-,1.0,6.0,-7.0,
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,2.916,77.986,(63.424),17.478,2916.0,77986.0,-63424.0,17478.0
,,,33.256,479.758,(504.835),8.179,33256.0,479758.0,-504835.0,8179.0
Năm 2015,Năm 2015,Năm 2015,Số dưđầu nămTriệu VND,Phát sinh trong năm,Phát sinh trong năm,Số dưcuối nămTriệu VND,,,,
Năm 2015,Năm 2015,Năm 2015,Số dưđầu nămTriệu VND,Số phải nộpTriệu VND,Số đã nộpTriệu VND,Số dưcuối nămTriệu VND,,,,
Thuế giá trị gia tăng,Năm 2015 > Thuế giá trị gia tăng,Thuế giá trị gia tăng,7.174,78.461,(77.617),8.018,7174.0,78461.0,-77617.0,8018.0
Thuế thu nhập doanh nghiệp,Năm 2015 > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,14.791,246.994,(239.464),22.321,14791.0,246994.0,-239464.0,22321.0
Thuế nhà – đất,Năm 2015 > Thuế nhà – đất,Thuế nhà – đất,1,51,(51),1,1.0,51.0,-51.0,1.0
Các loại thuế khác,Năm 2015 > Các loại thuế khác,Các loại thuế khác,3.651,69.765,(70.500),2.916,3651.0,69765.0,-70500.0,2916.0
,,,25.617,395.271,(387.632),33.256,25617.0,395271.0,-387632.0,33256.0
