row_label_raw,row_label_full,col_0,Vốn điều lệTriệu VND,Cổ phiếu quỹTriệu VND,Quỹ dự trữ bổ sung vốn điều lệTriệu VND,Quỹ dự phòng tài chínhTriệu VND,Các quỹ khác (*)Triệu VND,Lợi nhuận chưa phân phốiTriệu VND,TổngTriệu VND,numeric__Vốn điều lệTriệu VND,numeric__Cổ phiếu quỹTriệu VND,numeric__Quỹ dự trữ bổ sung vốn điều lệTriệu VND,numeric__Quỹ dự phòng tài chínhTriệu VND,numeric__Các quỹ khác (*)Triệu VND,numeric__Lợi nhuận chưa phân phốiTriệu VND,numeric__TổngTriệu VND
Số dư tại ngày 1 tháng 1 năm 2015,Số dư tại ngày 1 tháng 1 năm 2015,Số dư tại ngày 1 tháng 1 năm 2015,9.376.965,(665.124),399.030,1.540.226,121,1.477.388,12.128.606,9376965.0,-665124.0,399030.0,1540226.0,121.0,1477388.0,12128606.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,1.012.086,1.012.086,,,,,,1012086.0,1012086.0
Mua cổ phiếu quỹ trong năm,Mua cổ phiếu quỹ trong năm,Mua cổ phiếu quỹ trong năm,-,(601),-,-,-,-,(601),,-601.0,,,,,-601.0
Phân bổ vào các quỹ,Phân bổ vào các quỹ,Phân bổ vào các quỹ,-,-,50.605,101.208,-,(151.813),-,,,50605.0,101208.0,,-151813.0,
"Phân bổ vào quỹ khen thưởng, phúc lợi(Thuyết minh 21(ii))","Phân bổ vào quỹ khen thưởng, phúc lợi(Thuyết minh 21(ii))","Phân bổ vào quỹ khen thưởng, phúc lợi(Thuyết minh 21(ii))",-,-,-,-,-,(10.000),(10.000),,,,,,-10000.0,-10000.0
Chia cổ tức năm 2014,Chia cổ tức năm 2014,Chia cổ tức năm 2014,-,-,-,-,-,(627.392),(627.392),,,,,,-627392.0,-627392.0
Số dư tại ngày 1 tháng 1 năm 2016,Số dư tại ngày 1 tháng 1 năm 2016,Số dư tại ngày 1 tháng 1 năm 2016,9.376.965,(665.725),449.635,1.641.434,121,1.700.269,12.502.699,9376965.0,-665725.0,449635.0,1641434.0,121.0,1700269.0,12502699.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,1.307.992,1.307.992,,,,,,1307992.0,1307992.0
Phân bổ vào các quỹ,Phân bổ vào các quỹ,Phân bổ vào các quỹ,-,-,65.399,130.799,-,(196.198),-,,,65399.0,130799.0,,-196198.0,
"Phân bổ vào quỹ khen thưởng, phúc lợi(Thuyết minh 21(ii))","Phân bổ vào quỹ khen thưởng, phúc lợi(Thuyết minh 21(ii))","Phân bổ vào quỹ khen thưởng, phúc lợi(Thuyết minh 21(ii))",-,-,-,-,-,(50.000),(50.000),,,,,,-50000.0,-50000.0
Số dư tại ngày 31 tháng 12 năm 2016,Số dư tại ngày 31 tháng 12 năm 2016,Số dư tại ngày 31 tháng 12 năm 2016,9.376.965,(665.725),515.034,1.772.233,121,2.762.063,13.760.691,9376965.0,-665725.0,515034.0,1772233.0,121.0,2762063.0,13760691.0
