row_label_raw,row_label_full,Tiền gửi tại Ngân hàng,Tỷ lệ dự trữ bắt buộc,Tỷ lệ dự trữ bắt buộc_1,numeric__Tỷ lệ dự trữ bắt buộc,numeric__Tỷ lệ dự trữ bắt buộc_1
Tiền gửi tại Ngân hàng,Tiền gửi tại Ngân hàng,Tiền gửi tại Ngân hàng,31/12/2016,31/12/2015,,
Số dư bình quân tháng trước:,Số dư bình quân tháng trước:,Số dư bình quân tháng trước:,,,,
Từ khách hàng:,Từ khách hàng:,Từ khách hàng:,,,,
▪ Tiền gửi bằng ngoại tệ có kỳ hạn dưới 12 tháng,Từ khách hàng: > ▪ Tiền gửi bằng ngoại tệ có kỳ hạn dưới 12 tháng,▪ Tiền gửi bằng ngoại tệ có kỳ hạn dưới 12 tháng,8%,8%,0.08,0.08
▪ Tiền gửi bằng ngoại tệ có kỳ hạn từ 12 tháng trở lên,Từ khách hàng: > ▪ Tiền gửi bằng ngoại tệ có kỳ hạn từ 12 tháng trở lên,▪ Tiền gửi bằng ngoại tệ có kỳ hạn từ 12 tháng trở lên,6%,6%,0.06,0.06
▪ Tiền gửi bằng VND có kỳ hạn dưới 12 tháng,Từ khách hàng: > ▪ Tiền gửi bằng VND có kỳ hạn dưới 12 tháng,▪ Tiền gửi bằng VND có kỳ hạn dưới 12 tháng,3%,3%,0.03,0.03
▪ Tiền gửi bằng VND có kỳ hạn từ 12 tháng trở lên,Từ khách hàng: > ▪ Tiền gửi bằng VND có kỳ hạn từ 12 tháng trở lên,▪ Tiền gửi bằng VND có kỳ hạn từ 12 tháng trở lên,1%,1%,0.01,0.01
Từ tổ chức tín dụng nước ngoài:,Từ tổ chức tín dụng nước ngoài:,Từ tổ chức tín dụng nước ngoài:,,,,
▪ Tiền gửi bằng ngoại tệ,Từ tổ chức tín dụng nước ngoài: > ▪ Tiền gửi bằng ngoại tệ,▪ Tiền gửi bằng ngoại tệ,1%,1%,0.01,0.01
,,,31/12/2016Triệu VND,31/12/2015Triệu VND,,
Tiền gửi thanh toán tại NHNNVN,Tiền gửi thanh toán tại NHNNVN,Tiền gửi thanh toán tại NHNNVN,,,,
▪ Bằng VND,Tiền gửi thanh toán tại NHNNVN > ▪ Bằng VND,▪ Bằng VND,4.343.739,2.561.895,4343739.0,2561895.0
▪ Bằng ngoại tệ,Tiền gửi thanh toán tại NHNNVN > ▪ Bằng ngoại tệ,▪ Bằng ngoại tệ,775.567,2.046.785,775567.0,2046785.0
,,,5.119.306,4.608.680,5119306.0,4608680.0
