row_label_raw,row_label_full,col_0,2016Triệu VND,2015Triệu VNDĐã phân loại lại,numeric__2016Triệu VND,numeric__2015Triệu VNDĐã phân loại lại
"1. Chi nộp thuế và các khoản phí, lệ phí","1. Chi nộp thuế và các khoản phí, lệ phí","1. Chi nộp thuế và các khoản phí, lệ phí",13.219,8.767,13219.0,8767.0
2. Chi phí cho nhân viên:,2. Chi phí cho nhân viên:,2. Chi phí cho nhân viên:,2.215.729,1.911.674,2215729.0,1911674.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
▪ Chi lương và phụ cấp (i),Trong đó: > ▪ Chi lương và phụ cấp (i),▪ Chi lương và phụ cấp (i),622.957,563.687,622957.0,563687.0
▪ Các khoản chi đóng góp theo lương,Trong đó: > ▪ Các khoản chi đóng góp theo lương,▪ Các khoản chi đóng góp theo lương,141.662,128.301,141662.0,128301.0
▪ Chi trợ cấp,Trong đó: > ▪ Chi trợ cấp,▪ Chi trợ cấp,2.505,2.772,2505.0,2772.0
▪ Chi phí khác (i),Trong đó: > ▪ Chi phí khác (i),▪ Chi phí khác (i),1.448.605,1.216.914,1448605.0,1216914.0
3. Chi về tài sản,Trong đó: > 3. Chi về tài sản,3. Chi về tài sản,938.912,802.177,938912.0,802177.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
▪ Chi phí khấu hao tài sản cố định,Trong đó: > ▪ Chi phí khấu hao tài sản cố định,▪ Chi phí khấu hao tài sản cố định,239.005,232.964,239005.0,232964.0
▪ Chi phí khác,Trong đó: > ▪ Chi phí khác,▪ Chi phí khác,699.907,569.213,699907.0,569213.0
4. Chi cho hoạt động quản lý công vụ,Trong đó: > 4. Chi cho hoạt động quản lý công vụ,4. Chi cho hoạt động quản lý công vụ,1.047.730,982.198,1047730.0,982198.0
"5. Chi nộp phí bảo hiểm, bảo toàn tiền gửi của khách hàng","Trong đó: > 5. Chi nộp phí bảo hiểm, bảo toàn tiền gửi của khách hàng","5. Chi nộp phí bảo hiểm, bảo toàn tiền gửi của khách hàng",213.390,183.258,213390.0,183258.0
6. Chi phí dự phòng (ii),Trong đó: > 6. Chi phí dự phòng (ii),6. Chi phí dự phòng (ii),98.469,12.159,98469.0,12159.0
,,,4.527.449,3.900.233,4527449.0,3900233.0
