row_label_raw,row_label_full,col_0,Máy móc thiết bị VND,numeric__Máy móc thiết bị VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,
Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,-,
Thuê mới trong năm,Tại ngày 1 tháng 1 năm 2022 > Thuê mới trong năm,Thuê mới trong năm,41.899.309.383,41899309383.0
Tại ngày 31 tháng 12 năm 2022,Tại ngày 1 tháng 1 năm 2022 > Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,41.899.309.383,41899309383.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,
Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,-,
Khấu hao trong năm,Tại ngày 1 tháng 1 năm 2022 > Khấu hao trong năm,Khấu hao trong năm,349.160.913,349160913.0
Tại ngày 31 tháng 12 năm 2022,Tại ngày 1 tháng 1 năm 2022 > Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,349.160.913,349160913.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,
Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,-,
Tại ngày 31 tháng 12 năm 2022,Tại ngày 1 tháng 1 năm 2022 > Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,41.550.148.470,41550148470.0
