row_label_raw,row_label_full,Bà Nguyễn Thị Bích Nhi,Trường ban,numeric__Trường ban
Bà Võ Thị Vui,Bà Võ Thị Vui,Bà Võ Thị Vui,Thành viên,
Ông Lê Nhật Tân,Ông Lê Nhật Tân,Ông Lê Nhật Tân,Thành viên,
