row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND","Máy móc,thiết bịVND",Phương tiệnvận tảiVND,Thiết bịvăn phòngVND,TSCĐ khácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND","numeric__Máy móc,thiết bịVND",numeric__Phương tiệnvận tảiVND,numeric__Thiết bịvăn phòngVND,numeric__TSCĐ khácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Tại ngày 1 tháng 1 năm 2022,Nguyên giá > Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,707.966.849.535,3.850.289.897.927,255.273.422.469,15.772.768.756,725.753.480,4.830.028.692.167,707966849535.0,3850289897927.0,255273422469.0,15772768756.0,725753480.0,4830028692167.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,4.035.545.327,20.993.419.866,737.700.000,-,25.766.665.193,,4035545327.0,20993419866.0,737700000.0,,25766665193.0
Chuyển từ chí phí xây dựng cơ bản đở dang (Thuyết minh 11),Nguyên giá > Chuyển từ chí phí xây dựng cơ bản đở dang (Thuyết minh 11),Chuyển từ chí phí xây dựng cơ bản đở dang (Thuyết minh 11),42.467.746.906,25.974.497.054,22.871.256.408,-,-,91.313.500.368,42467746906.0,25974497054.0,22871256408.0,,,91313500368.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(19.728.808.364),-,-,(19.728.808.364),,,-19728808364.0,,,-19728808364.0
Khác,Nguyên giá > Khác,Khác,-,(540.000.000),-,-,-,(540.000.000),,-540000000.0,,,,-540000000.0
Tại ngày 31 tháng 12 năm 2022,Nguyên giá > Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,750.434.596.441,3.879.759.940.308,279.409.290.379,16.510.468.756,725.753.480,4.926.840.049.364,750434596441.0,3879759940308.0,279409290379.0,16510468756.0,725753480.0,4926840049364.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,,
Tại ngày 1 tháng 1 năm 2022,Giá trị khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,299.888.722.519,1.880.022.727.371,111.296.110.454,8.551.649.468,453.046.309,2.300.212.256.121,299888722519.0,1880022727371.0,111296110454.0,8551649468.0,453046309.0,2300212256121.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,47.917.936.981,299.786.247.435,19.411.200.862,1.407.706.212,50.242.962,368.573.334.452,47917936981.0,299786247435.0,19411200862.0,1407706212.0,50242962.0,368573334452.0
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(5.682.117.729),-,-,(5.682.117.729),,,-5682117729.0,,,-5682117729.0
Khác,Giá trị khấu hao lũy kế > Khác,Khác,-,(58.500.000),-,-,-,(58.500.000),,-58500000.0,,,,-58500000.0
Tại ngày 31 tháng 12 năm 2022,Giá trị khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,347.806.659.500,2.179.750.474.806,125.025.193.587,9.959.355.680,503.289.271,2.663.044.972.844,347806659500.0,2179750474806.0,125025193587.0,9959355680.0,503289271.0,2663044972844.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày 1 tháng 1 năm 2022,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,408.078.127.016,1.970.267.170.556,143.977.312.015,7.221.119.288,272.707.171,2.529.816.436.046,408078127016.0,1970267170556.0,143977312015.0,7221119288.0,272707171.0,2529816436046.0
Tại ngày 31 tháng 12 năm 2022,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,402.627.936.941,1.700.009.465.502,154.384.096.792,6.551.113.076,222.464.209,2.263.795.076.520,402627936941.0,1700009465502.0,154384096792.0,6551113076.0,222464209.0,2263795076520.0
