row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Phần mềm vi tính VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm vi tính VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Tại ngày 1 tháng 1 năm 2022,Nguyên giá > Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,269.452.694.657,9.977.018.000,279.429.712.657,269452694657.0,9977018000.0,279429712657.0
Chuyển từ chi phí xây dựng cơ bản dở dang (Thuyết minh 11),Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang (Thuyết minh 11),Chuyển từ chi phí xây dựng cơ bản dở dang (Thuyết minh 11),50.906.327.027,-,50.906.327.027,50906327027.0,,50906327027.0
Tại ngày 1 tháng 1 năm 2022,Nguyên giá > Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,320.359.021.684,9.977.018.000,330.336.039.684,320359021684.0,9977018000.0,330336039684.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,
Tại ngày 1 tháng 1 năm 2022,Giá trị khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,36.036.206.092,2.509.001.840,38.545.207.932,36036206092.0,2509001840.0,38545207932.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,7.359.602.987,1.497.353.049,8.856.956.036,7359602987.0,1497353049.0,8856956036.0
Tại ngày 31 tháng 12 năm 2022,Giá trị khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,43.395.809.079,4.006.354.889,47.402.163.968,43395809079.0,4006354889.0,47402163968.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Tại ngày 1 tháng 1 năm 2022,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,233.416.488.565,7.468.016.160,240.884.504.725,233416488565.0,7468016160.0,240884504725.0
Tại ngày 31 tháng 12 năm 2022,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,276.963.212.605,5.970.663.111,282.933.875.716,276963212605.0,5970663111.0,282933875716.0
