row_label_raw,row_label_full,col_0,Vốn góp,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Tổng cộng,numeric__Vốn góp,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,
Số dư đầu năm,Năm trước > Số dư đầu năm,Số dư đầu năm,3.500.000.000.000,-,389.781.801.252,3.889.781.801.252,3500000000000.0,,389781801252.0,3889781801252.0
Lợi nhuận trong năm,Năm trước > Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,854.129.257.052,854.129.257.052,,,854129257052.0,854129257052.0
Trích lập quỹ đầu tư phát triển,Năm trước > Trích lập quỹ đầu tư phát triển,Trích lập quỹ đầu tư phát triển,-,30.293.139.240,(30.293.139.240),-,,30293139240.0,-30293139240.0,
"Trích lập quỹ khen thưởng, phúc lợi","Năm trước > Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi",-,-,(44.398.097.412),(44.398.097.412),,,-44398097412.0,-44398097412.0
Trích lập quỹ thưởng người quản lý,Năm trước > Trích lập quỹ thưởng người quản lý,Trích lập quỹ thưởng người quản lý,-,-,(2.462.625.000),(2.462.625.000),,,-2462625000.0,-2462625000.0
Chia cổ tức,Năm trước > Chia cổ tức,Chia cổ tức,-,-,(350.000.000.000),(350.000.000.000),,,-350000000000.0,-350000000000.0
Số dư cuối năm,Năm trước > Số dư cuối năm,Số dư cuối năm,3.500.000.000.000,30.293.139.240,816.757.196.652,4.347.050.335.892,3500000000000.0,30293139240.0,816757196652.0,4347050335892.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,
Số dư đầu năm,Năm nay > Số dư đầu năm,Số dư đầu năm,3.500.000.000.000,30.293.139.240,816.757.196.652,4.347.050.335.892,3500000000000.0,30293139240.0,816757196652.0,4347050335892.0
Lợi nhuận trong năm,Năm nay > Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,733.591.366.823,733.591.366.823,,,733591366823.0,733591366823.0
Trích lập quỹ đầu tư phát triển (*),Năm nay > Trích lập quỹ đầu tư phát triển (*),Trích lập quỹ đầu tư phát triển (*),-,116.757.196.652,(116.757.196.652),-,,116757196652.0,-116757196652.0,
Trích quỹ khen thưởng phúc lợi,Năm nay > Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,-,-,(28.106.701.737),(28.106.701.737),,,-28106701737.0,-28106701737.0
Chia cổ tức (*),Năm nay > Chia cổ tức (*),Chia cổ tức (*),-,-,(700.000.000.000),(700.000.000.000),,,-700000000000.0,-700000000000.0
Số dư cuối năm,Năm nay > Số dư cuối năm,Số dư cuối năm,3.500.000.000.000,147.050.335.892,705.484.665.086,4.352.535.000.978,3500000000000.0,147050335892.0,705484665086.0,4352535000978.0
