row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2018 và cho năm tài chính kết thúc cùng ngày,Hoạt động khai thác trồng rừng > Tại ngày 31 tháng 12 năm 2018 và cho năm tài chính kết thúc cùng ngày,Hoạt động thương mại > Tại ngày 31 tháng 12 năm 2018 và cho năm tài chính kết thúc cùng ngày,Sản xuất và kinh doanh MDF > Tại ngày 31 tháng 12 năm 2018 và cho năm tài chính kết thúc cùng ngày,Hoạt động cung cấp dịch vụ > Tại ngày 31 tháng 12 năm 2018 và cho năm tài chính kết thúc cùng ngày,Hoạt động khác > Tại ngày 31 tháng 12 năm 2018 và cho năm tài chính kết thúc cùng ngày,Loại trừ > Tại ngày 31 tháng 12 năm 2018 và cho năm tài chính kết thúc cùng ngày,Đơn vị tính: VND Tổng cộng > Tại ngày 31 tháng 12 năm 2018 và cho năm tài chính kết thúc cùng ngày,numeric__Hoạt động khai thác trồng rừng > Tại ngày 31 tháng 12 năm 2018 và cho năm tài chính kết thúc cùng ngày,numeric__Hoạt động thương mại > Tại ngày 31 tháng 12 năm 2018 và cho năm tài chính kết thúc cùng ngày,numeric__Sản xuất và kinh doanh MDF > Tại ngày 31 tháng 12 năm 2018 và cho năm tài chính kết thúc cùng ngày,numeric__Hoạt động cung cấp dịch vụ > Tại ngày 31 tháng 12 năm 2018 và cho năm tài chính kết thúc cùng ngày,numeric__Hoạt động khác > Tại ngày 31 tháng 12 năm 2018 và cho năm tài chính kết thúc cùng ngày,numeric__Loại trừ > Tại ngày 31 tháng 12 năm 2018 và cho năm tài chính kết thúc cùng ngày,numeric__Đơn vị tính: VND Tổng cộng > Tại ngày 31 tháng 12 năm 2018 và cho năm tài chính kết thúc cùng ngày
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,,,,,,
Doanh thu từ bán hàng ra bên ngoài,Doanh thu > Doanh thu từ bán hàng ra bên ngoài,Doanh thu từ bán hàng ra bên ngoài,20.472.318.378,345.984.334.693,308.624.464.327,69.586.197.072,13.680.369.986,-,758.347.684.456,20472318378.0,345984334693.0,308624464327.0,69586197072.0,13680369986.0,,758347684456.0
Doanh thu từ bán hàng cho các bộ phận,Doanh thu từ bán hàng cho các bộ phận,Doanh thu từ bán hàng cho các bộ phận,Doanh thu từ bán hàng cho các bộ phận,Doanh thu từ bán hàng cho các bộ phận,Doanh thu từ bán hàng cho các bộ phận,Doanh thu từ bán hàng cho các bộ phận,Doanh thu từ bán hàng cho các bộ phận,Doanh thu từ bán hàng cho các bộ phận,Doanh thu từ bán hàng cho các bộ phận,,,,,,,
Tổng doanh thu,Doanh thu từ bán hàng cho các bộ phận > Tổng doanh thu,Tổng doanh thu,20.472.318.378,345.984.334.693,308.624.464.327,69.586.197.072,13.680.369.986,-,758.347.684.456,20472318378.0,345984334693.0,308624464327.0,69586197072.0,13680369986.0,,758347684456.0
Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,,,,,,,
Lợi nhuận gộp của bộ phận,Kết quả > Lợi nhuận gộp của bộ phận,Lợi nhuận gộp của bộ phận,6.857.674.805,9.187.721.831,78.094.580.601,27.291.563.305,(36.096.670.880),-,85.334.869.662,6857674805.0,9187721831.0,78094580601.0,27291563305.0,-36096670880.0,,85334869662.0
"Thu nhập, chi phí không phân bổ (i)","Kết quả > Thu nhập, chi phí không phân bổ (i)","Thu nhập, chi phí không phân bổ (i)",,,,,,,791.464.371.608,,,,,,,791464371608.0
Lợi nhuận thuần trước thuế,Kết quả > Lợi nhuận thuần trước thuế,Lợi nhuận thuần trước thuế,,,,,,,876.799.241.270,,,,,,,876799241270.0
Chi phí thuế TNDN,Kết quả > Chi phí thuế TNDN,Chi phí thuế TNDN,,,,,,,(22.669.984.218),,,,,,,-22669984218.0
Lợi nhuận thuần sau thuế,Kết quả > Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,,,,,,,854.129.257.052,,,,,,,854129257052.0
Tải sản và công nợ,Tải sản và công nợ,Tải sản và công nợ,Tải sản và công nợ,Tải sản và công nợ,Tải sản và công nợ,Tải sản và công nợ,Tải sản và công nợ,Tải sản và công nợ,Tải sản và công nợ,,,,,,,
Tải sản bộ phận,Tải sản bộ phận,Tải sản bộ phận,Tải sản bộ phận,Tải sản bộ phận,Tải sản bộ phận,Tải sản bộ phận,Tải sản bộ phận,Tải sản bộ phận,Tải sản bộ phận,,,,,,,
Tải sản không phân bổ (ii),Tải sản bộ phận > Tải sản không phân bổ (ii),Tải sản không phân bổ (ii),,,,,,,4.546.992.388.270,,,,,,,4546992388270.0
Tổng tài sản,Tải sản bộ phận > Tổng tài sản,Tổng tài sản,Tổng tài sản,Tổng tài sản,Tổng tài sản,Tổng tài sản,Tổng tài sản,Tổng tài sản,4.546.992.388.270,,,,,,,4546992388270.0
Nợ phải trả bộ phận,Nợ phải trả bộ phận,Nợ phải trả bộ phận,Nợ phải trả bộ phận,Nợ phải trả bộ phận,Nợ phải trả bộ phận,Nợ phải trả bộ phận,Nợ phải trả bộ phận,Nợ phải trả bộ phận,Nợ phải trả bộ phận,,,,,,,
Nợ phải trả không phân bổ (iii),Nợ phải trả bộ phận > Nợ phải trả không phân bổ (iii),Nợ phải trả không phân bổ (iii),,,,,,,199.229.648.985,,,,,,,199229648985.0
Tổng nợ phải trả,Nợ phải trả bộ phận > Tổng nợ phải trả,Tổng nợ phải trả,,,,,,,199.229.648.985,,,,,,,199229648985.0
