row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
"Kinh phí đo đạc, cấm móc, cấp giấy chứng nhận quyền sử dụng đất (*)","Ngắn hạn > Kinh phí đo đạc, cấm móc, cấp giấy chứng nhận quyền sử dụng đất (*)","Kinh phí đo đạc, cấm móc, cấp giấy chứng nhận quyền sử dụng đất (*)",16.920.399.387,19.681.062.867,16920399387.0,19681062867.0
"Nhận ký quỹ, ký cược ngắn hạn","Ngắn hạn > Nhận ký quỹ, ký cược ngắn hạn","Nhận ký quỹ, ký cược ngắn hạn",11.326.184.429,10.382.461.453,11326184429.0,10382461453.0
Phải trả Ban Thanh lý Xí nghiệp Phú Lâm,Ngắn hạn > Phải trả Ban Thanh lý Xí nghiệp Phú Lâm,Phải trả Ban Thanh lý Xí nghiệp Phú Lâm,5.877.906.107,4.918.912.314,5877906107.0,4918912314.0
Phải trả phải nộp khác,Ngắn hạn > Phải trả phải nộp khác,Phải trả phải nộp khác,9.361.933.467,8.402.853.583,9361933467.0,8402853583.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,43.486.423.390,43.385.290.217,43486423390.0,43385290217.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả ngắn hạn khác các bên khác,Trong đó: > Phải trả ngắn hạn khác các bên khác,Phải trả ngắn hạn khác các bên khác,43.465.474.542,43.374.291.642,43465474542.0,43374291642.0
Phải trả ngắn hạn khác cho các bên liên quan (Thuyết minh số 30),Trong đó: > Phải trả ngắn hạn khác cho các bên liên quan (Thuyết minh số 30),Phải trả ngắn hạn khác cho các bên liên quan (Thuyết minh số 30),20.948.848,10.998.575,20948848.0,10998575.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
"Nhận ký quỹ, ký cược dài hạn","Dài hạn > Nhận ký quỹ, ký cược dài hạn","Nhận ký quỹ, ký cược dài hạn",12.045.897.631,12.150.085.858,12045897631.0,12150085858.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,12.045.897.631,12.150.085.858,12045897631.0,12150085858.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả dài hạn khác các bên khác,Trong đó: > Phải trả dài hạn khác các bên khác,Phải trả dài hạn khác các bên khác,10.830.361.951,10.934.550.178,10830361951.0,10934550178.0
Phải trả dài hạn khác cho các bên liên quan (Thuyết minh số 30),Trong đó: > Phải trả dài hạn khác cho các bên liên quan (Thuyết minh số 30),Phải trả dài hạn khác cho các bên liên quan (Thuyết minh số 30),1.215.535.680,1.215.535.680,1215535680.0,1215535680.0
