row_label_raw,row_label_full,Bên liên quan > Phải thu ngắn hạn khác (Thuyết minh số 8),Mối quan hệ > Phải thu ngắn hạn khác (Thuyết minh số 8),Nội dung nghiệp vụ > Phải thu ngắn hạn khác (Thuyết minh số 8),Số cuối năm > Phải thu ngắn hạn khác (Thuyết minh số 8),Đơn vị tính: VND > Phải thu ngắn hạn khác (Thuyết minh số 8),numeric__Mối quan hệ > Phải thu ngắn hạn khác (Thuyết minh số 8),numeric__Nội dung nghiệp vụ > Phải thu ngắn hạn khác (Thuyết minh số 8),numeric__Số cuối năm > Phải thu ngắn hạn khác (Thuyết minh số 8),numeric__Đơn vị tính: VND > Phải thu ngắn hạn khác (Thuyết minh số 8)
Công ty TNHH MTV Lâm nghiệp Ba Tơ,Công ty TNHH MTV Lâm nghiệp Ba Tơ,Công ty TNHH MTV Lâm nghiệp Ba Tơ,Công ty con,Phải thu lãi sử dụng vốn,2.980.717.901,5.089.241.716,,,2980717901.0,5089241716.0
Công ty TNHH MTV Lâm nghiệp La Ngà - Đồng Nai,Công ty TNHH MTV Lâm nghiệp La Ngà - Đồng Nai,Công ty TNHH MTV Lâm nghiệp La Ngà - Đồng Nai,Công ty con,Phải thu lợi nhuận được chia,13.735.591.478,5.214.264.188,,,13735591478.0,5214264188.0
Công ty TNHH MTV Lâm nghiệp Đông Bắc,Công ty TNHH MTV Lâm nghiệp Đông Bắc,Công ty TNHH MTV Lâm nghiệp Đông Bắc,Công ty con,"Phải thu tiền lãi, lợi nhuận được chia",-,43.602.777,,,,43602777.0
Công ty TNHH MTV Văn dán Vinafor Bắc Giang,Công ty TNHH MTV Văn dán Vinafor Bắc Giang,Công ty TNHH MTV Văn dán Vinafor Bắc Giang,Công ty con,Phải thu ngắn hạn khác,1.014.037,-,,,1014037.0,
Công ty Cổ phần Vinafor Tây Nguyên,Công ty Cổ phần Vinafor Tây Nguyên,Công ty Cổ phần Vinafor Tây Nguyên,Công ty con,Phải thu lãi vay,444.946.041,444.946.041,,,444946041.0,444946041.0
Công ty Cổ phần Giống Lâm Nghiệp vùng Đông Bắc,Công ty Cổ phần Giống Lâm Nghiệp vùng Đông Bắc,Công ty Cổ phần Giống Lâm Nghiệp vùng Đông Bắc,Công ty con,Phải thu lãi vay,581.122.944,570.622.945,,,581122944.0,570622945.0
Công ty TNHH Sản xuất Nguyên liệu giấy Việt Nhật Vũng Áng,Công ty TNHH Sản xuất Nguyên liệu giấy Việt Nhật Vũng Áng,Công ty TNHH Sản xuất Nguyên liệu giấy Việt Nhật Vũng Áng,Công ty liên kết,Phải thu ngắn hạn khác,-,27.007.901,,,,27007901.0
Công ty Cổ phần Thương mại Lâm sản Hà Nội,Công ty Cổ phần Thương mại Lâm sản Hà Nội,Công ty Cổ phần Thương mại Lâm sản Hà Nội,Công ty liên kết,Phải thu về cổ phần hóa,935.811.705,935.811.705,,,935811705.0,935811705.0
Công ty TNHH Việt Nhật Chế biến gỗ và đảm gỗ Dung Quất,Công ty TNHH Việt Nhật Chế biến gỗ và đảm gỗ Dung Quất,Công ty TNHH Việt Nhật Chế biến gỗ và đảm gỗ Dung Quất,Công ty liên kết,Phải thu lãi vay,153.966.927,154.233.190,,,153966927.0,154233190.0
Công ty Cổ phần Tư vấn và đầu tư Forprodex,Công ty Cổ phần Tư vấn và đầu tư Forprodex,Công ty Cổ phần Tư vấn và đầu tư Forprodex,Công ty liên kết,Phải thu về cổ phần hóa,2.619.700.000,2.919.700.000,,,2619700000.0,2919700000.0
