row_label_raw,row_label_full,col_0,"Nhà cửa, vật kiến trúc","Máy móc, thiết bị","Phương tiện vận tải, truyền dẫn",Thiết bị văn phòng,TSCĐ hữu hình khác,Tổng cộng,"numeric__Nhà cửa, vật kiến trúc","numeric__Máy móc, thiết bị","numeric__Phương tiện vận tải, truyền dẫn",numeric__Thiết bị văn phòng,numeric__TSCĐ hữu hình khác,numeric__Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,182.771.053.786,315.850.367.882,21.867.105.782,61.745.473.626,1.872.842.507,584.106.843.583,182771053786.0,315850367882.0,21867105782.0,61745473626.0,1872842507.0,584106843583.0
- Mua trong năm,Nguyên giá: > - Mua trong năm,- Mua trong năm,349.491.697,451.050.000,3.546.309.091,88.000.000,-,4.434.850.788,349491697.0,451050000.0,3546309091.0,88000000.0,,4434850788.0
- Đầu tư XDCB hoàn thành,Nguyên giá: > - Đầu tư XDCB hoàn thành,- Đầu tư XDCB hoàn thành,509.980.479,-,-,-,199.834.999,709.815.478,509980479.0,,,,199834999.0,709815478.0
"- Thanh lý, nhượng bán","Nguyên giá: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,-,(67.496.000),-,-,(67.496.000),,,-67496000.0,,,-67496000.0
- Giảm khác,Nguyên giá: > - Giảm khác,- Giảm khác,-,(301.220.909),-,-,-,(301.220.909),,-301220909.0,,,,-301220909.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,183.630.525.962,316.000.196.973,25.345.918.873,61.833.473.626,2.072.677.506,588.882.792.940,183630525962.0,316000196973.0,25345918873.0,61833473626.0,2072677506.0,588882792940.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,,
Đã khấu hao hết,Trong đó: > Đã khấu hao hết,Đã khấu hao hết,8.182.667.711,258.070.356.770,2.675.798.588,47.848.017.349,775.129.261,317.551.969.679,8182667711.0,258070356770.0,2675798588.0,47848017349.0,775129261.0,317551969679.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,98.831.633.334,292.673.319.449,15.722.586.128,50.958.384.758,1.558.186.272,459.744.109.941,98831633334.0,292673319449.0,15722586128.0,50958384758.0,1558186272.0,459744109941.0
- Khấu hao trong năm,Giá trị khấu hao lũy kế: > - Khấu hao trong năm,- Khấu hao trong năm,8.749.333.008,5.231.923.228,1.870.643.895,7.060.466.969,92.715.223,23.005.082.323,8749333008.0,5231923228.0,1870643895.0,7060466969.0,92715223.0,23005082323.0
"- Thanh lý, nhượng bán","Giá trị khấu hao lũy kế: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,-,(67.496.000),-,-,(67.496.000),,,-67496000.0,,,-67496000.0
- Giảm khác,Giá trị khấu hao lũy kế: > - Giảm khác,- Giảm khác,-,(281.058.532),-,-,-,(281.058.532),,-281058532.0,,,,-281058532.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,107.580.966.342,297.624.184.145,17.525.734.023,58.018.851.727,1.650.901.495,482.400.637.732,107580966342.0,297624184145.0,17525734023.0,58018851727.0,1650901495.0,482400637732.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,83.939.420.452,23.177.048.433,6.144.519.654,10.787.088.868,314.656.235,124.362.733.642,83939420452.0,23177048433.0,6144519654.0,10787088868.0,314656235.0,124362733642.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,76.049.559.620,18.376.012.828,7.820.184.850,3.814.621.899,421.776.011,106.482.155.208,76049559620.0,18376012828.0,7820184850.0,3814621899.0,421776011.0,106482155208.0
