row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Dự phòng,Số cuối năm > Giá trị hợp lý,Số đầu năm > Giá gốc,Số đầu năm > Dự phòng,Số đầu năm > Giá trị hợp lý,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Dự phòng,numeric__Số cuối năm > Giá trị hợp lý,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Dự phòng,numeric__Số đầu năm > Giá trị hợp lý
Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,,,,,,
Công ty TNHH Yamaha Motor Việt Nam (*),Đầu tư vào công ty liên kết > Công ty TNHH Yamaha Motor Việt Nam (*),Công ty TNHH Yamaha Motor Việt Nam (*),241.091.839.143,-,241.091.839.143,271.004.447.055,-,271.004.447.055,241091839143.0,,241091839143.0,271004447055.0,,271004447055.0
Công ty TNHH Việt Thành Thái (*),Đầu tư vào công ty liên kết > Công ty TNHH Việt Thành Thái (*),Công ty TNHH Việt Thành Thái (*),44.899.768.758,-,44.899.768.758,45.092.785.462,-,45.092.785.462,44899768758.0,,44899768758.0,45092785462.0,,45092785462.0
Công ty TNHH Sản xuất Nguyên liệu giấy Việt Nhật Cái Lân,Đầu tư vào công ty liên kết > Công ty TNHH Sản xuất Nguyên liệu giấy Việt Nhật Cái Lân,Công ty TNHH Sản xuất Nguyên liệu giấy Việt Nhật Cái Lân,26.139.084.964,-,26.139.084.964,26.139.084.964,-,26.139.084.964,26139084964.0,,26139084964.0,26139084964.0,,26139084964.0
Công ty TNHH Sản xuất Nguyên liệu giấy Việt Nhật,Đầu tư vào công ty liên kết > Công ty TNHH Sản xuất Nguyên liệu giấy Việt Nhật,Công ty TNHH Sản xuất Nguyên liệu giấy Việt Nhật,22.525.816.641,-,22.525.816.641,22.525.816.641,-,22.525.816.641,22525816641.0,,22525816641.0,22525816641.0,,22525816641.0
Công ty Liên doanh Nuôi và Phát triển Khỉ Việt Nam,Đầu tư vào công ty liên kết > Công ty Liên doanh Nuôi và Phát triển Khỉ Việt Nam,Công ty Liên doanh Nuôi và Phát triển Khỉ Việt Nam,18.434.398.669,-,18.434.398.669,18.434.398.669,-,18.434.398.669,18434398669.0,,18434398669.0,18434398669.0,,18434398669.0
Công ty TNHH Sản xuất Nguyên liệu giấy Việt Nhật Vũng Áng,Đầu tư vào công ty liên kết > Công ty TNHH Sản xuất Nguyên liệu giấy Việt Nhật Vũng Áng,Công ty TNHH Sản xuất Nguyên liệu giấy Việt Nhật Vũng Áng,12.401.394.337,-,12.401.394.337,12.401.394.337,-,12.401.394.337,12401394337.0,,12401394337.0,12401394337.0,,12401394337.0
Công ty Cổ phần Cờ Đỏ,Đầu tư vào công ty liên kết > Công ty Cổ phần Cờ Đỏ,Công ty Cổ phần Cờ Đỏ,11.525.782.967,-,11.525.782.967,11.525.782.967,-,11.525.782.967,11525782967.0,,11525782967.0,11525782967.0,,11525782967.0
Công ty Cổ phần Lâm nghiệp 19,Đầu tư vào công ty liên kết > Công ty Cổ phần Lâm nghiệp 19,Công ty Cổ phần Lâm nghiệp 19,8.054.284.341,-,8.054.284.341,8.054.284.341,-,8.054.284.341,8054284341.0,,8054284341.0,8054284341.0,,8054284341.0
Công ty Cổ phần Thương mại lâm sản Hà Nội,Đầu tư vào công ty liên kết > Công ty Cổ phần Thương mại lâm sản Hà Nội,Công ty Cổ phần Thương mại lâm sản Hà Nội,6.000.000.000,(6.000.000.000),-,6.000.000.000,(6.000.000.000),-,6000000000.0,-6000000000.0,,6000000000.0,-6000000000.0,
