row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Năm nay,Năm trước,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Năm nay,numeric__Năm trước
Công ty Cổ phầnGiống Lâm nghiệpvùng Đông Bắc,Công ty Cổ phầnGiống Lâm nghiệpvùng Đông Bắc,Công ty Cổ phầnGiống Lâm nghiệpvùng Đông Bắc,Công ty con,Lãi cho vayChi phí hỗ trợMua bán hàng hóavà dịch vụCho vay,10.499.99942.000.00088.000.000-,----150.000.000,,,,
Công ty Cổ phầnSản xuất và Xuấtnhập khấu Lâm sản Sài Gòn,Công ty Cổ phầnGiống Lâm nghiệpvùng Đông Bắc > Công ty Cổ phầnSản xuất và Xuấtnhập khấu Lâm sản Sài Gòn,Công ty Cổ phầnSản xuất và Xuấtnhập khấu Lâm sản Sài Gòn,Công ty con,Mua hàng hóa vàdịch vụ,-,159.556.754,,,,159556754.0
Công ty TNHH Yamaha Motor Việt Nam,Công ty Cổ phầnGiống Lâm nghiệpvùng Đông Bắc > Công ty TNHH Yamaha Motor Việt Nam,Công ty TNHH Yamaha Motor Việt Nam,Công ty liên kết,Doanh thu chothuê văn phòng,6.533.439.717,6.322.380.829,,,6533439717.0,6322380829.0
Công ty TNHH Sản xuất Nguyên liệuGiấy Việt NhậtCái Lân,Công ty Cổ phầnGiống Lâm nghiệpvùng Đông Bắc > Công ty TNHH Sản xuất Nguyên liệuGiấy Việt NhậtCái Lân,Công ty TNHH Sản xuất Nguyên liệuGiấy Việt NhậtCái Lân,Công ty liên kết,Doanh thu bánhàng và cung cấpdịch vụ,464.900.000,454.700.000,,,464900000.0,454700000.0
Công ty TNHH Sản xuất Nguyên liệuGiấy Việt Nhật,Công ty Cổ phầnGiống Lâm nghiệpvùng Đông Bắc > Công ty TNHH Sản xuất Nguyên liệuGiấy Việt Nhật,Công ty TNHH Sản xuất Nguyên liệuGiấy Việt Nhật,Công ty liên kết,Doanh thu bánhàng và cung cấpdịch vụ,464.900.000,7.337.829.508,,,464900000.0,7337829508.0
Công ty TNHH Sản xuất Nguyên liệuGiấy Việt NhậtVũng Áng,Công ty Cổ phầnGiống Lâm nghiệpvùng Đông Bắc > Công ty TNHH Sản xuất Nguyên liệuGiấy Việt NhậtVũng Áng,Công ty TNHH Sản xuất Nguyên liệuGiấy Việt NhậtVũng Áng,Công ty liên kết,Doanh thu bánhàng và cung cấpdịch vụ,28.339.824.800,35.665.979.700,,,28339824800.0,35665979700.0
,,,,Thu nợ gốc và lãivay,1.570.637.221,1.647.357.181,,,1570637221.0,1647357181.0
Công ty Cổ phầnCờ Đồ,Công ty Cổ phầnGiống Lâm nghiệpvùng Đông Bắc > Công ty Cổ phầnCờ Đồ,Công ty Cổ phầnCờ Đồ,Công ty liên kết,Doanh thu bánhàng,-,3.636.364,,,,3636364.0
Công ty TNHH ViệtNhật Chế biến gỗvà đảm gỗ DungQuất,Công ty Cổ phầnGiống Lâm nghiệpvùng Đông Bắc > Công ty TNHH ViệtNhật Chế biến gỗvà đảm gỗ DungQuất,Công ty TNHH ViệtNhật Chế biến gỗvà đảm gỗ DungQuất,Công ty liên kết,Mua hàng hóa vàdịch vụChi phí hỗ trợ,111.000.939,6.846.123.436-,,,111000939.0,
Công ty Cổ phầnGỗ lạng Buôn MaThuột,Công ty Cổ phầnGiống Lâm nghiệpvùng Đông Bắc > Công ty Cổ phầnGỗ lạng Buôn MaThuột,Công ty Cổ phầnGỗ lạng Buôn MaThuột,Công ty liên kết,Doanh thu bánhàng và cung cấpdịch vụ,6.102.652.600,6.507.051.597,,,6102652600.0,6507051597.0
Công ty Cổ phầnKon Hà Nừng,Công ty Cổ phầnGiống Lâm nghiệpvùng Đông Bắc > Công ty Cổ phầnKon Hà Nừng,Công ty Cổ phầnKon Hà Nừng,Công ty liên kết,Mua hàng hóa vàdịch vụ,483.805.509,605.595.600,,,483805509.0,605595600.0
