row_label_raw,row_label_full,Bên liên quan Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1),Mối quan hệ,Nội dung nghiệp vụ,Đơn vị tính: VND > Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Đơn vị tính: VND > Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm
Công ty TNHH MTV Lâm nghiệp Đông Bắc,Công ty TNHH MTV Lâm nghiệp Đông Bắc,Công ty TNHH MTV Lâm nghiệp Đông Bắc,Công ty con,Bán hàng hóa,19.735.000,33.140.000,,,19735000.0,33140000.0
Công ty TNHH một thành viên Lâm nghiệp Đình Lập,Công ty TNHH một thành viên Lâm nghiệp Đình Lập,Công ty TNHH một thành viên Lâm nghiệp Đình Lập,Công ty con,Phải thu tiền bán cây giống,43.920.000,-,,,43920000.0,
Công ty TNHH Yamaha Motor Việt Nam,Công ty TNHH Yamaha Motor Việt Nam,Công ty TNHH Yamaha Motor Việt Nam,Công ty liên kết,Cho thuê văn phòng và các dịch vụ phụ trợ khác,71.506.372,116.009.345,,,71506372.0,116009345.0
Công ty TNHH Sản xuất Nguyên liệu giấy Việt Nhật Vũng Áng,Công ty TNHH Sản xuất Nguyên liệu giấy Việt Nhật Vũng Áng,Công ty TNHH Sản xuất Nguyên liệu giấy Việt Nhật Vũng Áng,Công ty liên kết,Bán hàng hóa,112.764.028,273.956.600,,,112764028.0,273956600.0
Công ty Cổ phần Gỗ lạng Buôn Ma Thuột,Công ty Cổ phần Gỗ lạng Buôn Ma Thuột,Công ty Cổ phần Gỗ lạng Buôn Ma Thuột,Công ty liên kết,Bán hàng hóa,965.692.087,530.514.520,,,965692087.0,530514520.0
