row_label_raw,row_label_full,col_0,Nhà cửa,"Máy móc, thiết bị",Đơn vị tính: VND Tổng cộng,numeric__Nhà cửa,"numeric__Máy móc, thiết bị",numeric__Đơn vị tính: VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,167.341.644.075,50.854.067.382,218.195.711.457,167341644075.0,50854067382.0,218195711457.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,167.341.644.075,50.854.067.382,218.195.711.457,167341644075.0,50854067382.0,218195711457.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,
Đã khấu hao hết,Trong đó: > Đã khấu hao hết,Đã khấu hao hết,478.714.632,-,478.714.632,478714632.0,,478714632.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,31.895.576.917,27.663.606.484,59.559.183.401,31895576917.0,27663606484.0,59559183401.0
- Khấu hao trong năm,Giá trị khấu hao lũy kế: > - Khấu hao trong năm,- Khấu hao trong năm,4.784.522.880,5.195.598.780,9.980.121.660,4784522880.0,5195598780.0,9980121660.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,36.680.099.797,32.859.205.264,69.539.305.061,36680099797.0,32859205264.0,69539305061.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,135.446.067.158,23.190.460.898,158.636.528.056,135446067158.0,23190460898.0,158636528056.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,130.661.544.278,17.994.862.118,148.656.406.396,130661544278.0,17994862118.0,148656406396.0
