row_label_raw,row_label_full,col_0,2022Triệu VND,2021Triệu VND(trình bày lại),numeric__2022Triệu VND,numeric__2021Triệu VND(trình bày lại)
"Chi nộp thuế và các khoản phí, lệ phí","Chi nộp thuế và các khoản phí, lệ phí","Chi nộp thuế và các khoản phí, lệ phí",353.315,338.590,353315.0,338590.0
Chi phí cho nhân viên,Chi phí cho nhân viên,Chi phí cho nhân viên,10.426.759,9.296.127,10426759.0,9296127.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
- Chi lương và phụ cấp (Thuyết minh 35),Trong đó: > - Chi lương và phụ cấp (Thuyết minh 35),- Chi lương và phụ cấp (Thuyết minh 35),9.371.184,8.229.791,9371184.0,8229791.0
- Các khoản chi đóng góp theo lương,Trong đó: > - Các khoản chi đóng góp theo lương,- Các khoản chi đóng góp theo lương,740.013,705.773,740013.0,705773.0
- Chi trợ cấp,Trong đó: > - Chi trợ cấp,- Chi trợ cấp,5.050,3.212,5050.0,3212.0
Chi về tài sản,Trong đó: > Chi về tài sản,Chi về tài sản,4.065.083,3.506.831,4065083.0,3506831.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
- Khấu hao tài sản cố định,Trong đó: > - Khấu hao tài sản cố định,- Khấu hao tài sản cố định,1.269.972,1.339.035,1269972.0,1339035.0
Chi cho hoạt động quản lý công vụ,Trong đó: > Chi cho hoạt động quản lý công vụ,Chi cho hoạt động quản lý công vụ,5.112.883,3.392.547,5112883.0,3392547.0
"Chi nộp phí bảo hiểm, bảo toàn tiền gửi của khách hàng","Trong đó: > Chi nộp phí bảo hiểm, bảo toàn tiền gửi của khách hàng","Chi nộp phí bảo hiểm, bảo toàn tiền gửi của khách hàng",802.352,711.074,802352.0,711074.0
Chi phí dự phòng giảm giá đầu tư dài hạn(Thuyết minh 12(e)),Trong đó: > Chi phí dự phòng giảm giá đầu tư dài hạn(Thuyết minh 12(e)),Chi phí dự phòng giảm giá đầu tư dài hạn(Thuyết minh 12(e)),42.999,-,42999.0,
,,,20.803.391,17.245.169,20803391.0,17245169.0
