row_label_raw,row_label_full,col_0,col_1,VNDTriệu VND,USDTriệu VND,EURTriệu VND,Tiền tệ khácTriệu VND,Tổng cộngTriệu VND,numeric__col_1,numeric__VNDTriệu VND,numeric__USDTriệu VND,numeric__EURTriệu VND,numeric__Tiền tệ khácTriệu VND,numeric__Tổng cộngTriệu VND
,,,,VNDTriệu VND,USDTriệu VND,EURTriệu VND,Tiền tệ khácTriệu VND,Tổng cộngTriệu VND,,,,,,
,,,,VNDTriệu VND,USDTriệu VND,EURTriệu VND,Tiền tệ khácTriệu VND,Tổng cộngTriệu VND,,,,,,
I,I,I,Tài sản,,,,,,,,,,,
I,I > I,I,"Tiền mặt, vàng bạc, đá quý",14.797.952,2.690.710,381.973,440.011,18.310.646,,14797952.0,2690710.0,381973.0,440011.0,18310646.0
II,I > II,II,Tiền gửi tại NHNNVN,52.888.548,39.562.518,-,-,92.451.066,,52888548.0,39562518.0,,,92451066.0
III,I > III,III,Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,218.455.666,81.696.734,7.690.049,18.835.975,326.678.424,,218455666.0,81696734.0,7690049.0,18835975.0,326678424.0
IV,I > IV,IV,Các công cụ tài chính phải sinh và các tài sản tài chính khác,2.781.061,(2.524.061),(106.082),5.597,156.515,,2781061.0,-2524061.0,-106082.0,5597.0,156515.0
V,I > V,V,Cho vay khách hàng – gộp,1.025.398.908,109.236.011,1.568.983,-,1.136.203.902,,1025398908.0,109236011.0,1568983.0,,1136203902.0
VI,I > VI,VI,Chứng khoán đầu tư – gộp,172.465.931,23.616.529,-,-,196.082.460,,172465931.0,23616529.0,,,196082460.0
VII,I > VII,VII,"Góp vốn, đầu tư dài hạn – gộp",6.681.190,-,-,-,6.681.190,,6681190.0,,,,6681190.0
VIII,I > VIII,VIII,Tài sản cố định,7.774.214,-,-,-,7.774.214,,7774214.0,,,,7774214.0
IX,I > IX,IX,Tài sản Có khác – gộp,57.574.428,1.945.303,159,68.874,59.588.764,,57574428.0,1945303.0,159.0,68874.0,59588764.0
,,,Tổng tài sản,1.558.817.898,256.223.744,9.535.082,19.350.457,1.843.927.181,,1558817898.0,256223744.0,9535082.0,19350457.0,1843927181.0
,,,Nợ phải trả,,,,,,,,,,,
I,I > I,I,Các khoản nợ Chính phủ và NHNNVN và tiền gửi và vay các TCTD khác,192.862.070,85.311.337,4.544.287,16.027.485,298.745.179,,192862070.0,85311337.0,4544287.0,16027485.0,298745179.0
II,I > II,II,Tiền gửi của khách hàng,1.068.226.083,168.190.291,4.909.920,3.174.595,1.244.500.889,,1068226083.0,168190291.0,4909920.0,3174595.0,1244500889.0
III,I > III,III,"Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",3.298,-,-,-,3.298,,3298.0,,,,3298.0
IV,I > IV,IV,Phát hành giấy tờ có giá,25.393.730,45,-,-,25.393.775,,25393730.0,45.0,,,25393775.0
V,I > V,V,Các khoản nợ phải trả khác,103.295.517,2.675.645,19.020,115.210,106.105.392,,103295517.0,2675645.0,19020.0,115210.0,106105392.0
,,,Tổng nợ phải trả,1.389.780.698,256.177.318,9.473.227,19.317.290,1.674.748.533,,1389780698.0,256177318.0,9473227.0,19317290.0,1674748533.0
,,,Trạng thái tiền tệ nội bằng,169.037.200,46.426,61.855,33.167,169.178.648,,169037200.0,46426.0,61855.0,33167.0,169178648.0
