row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu VND","Máy móc,thiết bịTriệu VND","Phương tiệnvận tải,truyền đầnTriệu VND",Tài sảncó định hữuhình khácTriệu VND,Tổng cộngTriệu VND,"numeric__Nhà cửa,vật kiến trúcTriệu VND","numeric__Máy móc,thiết bịTriệu VND","numeric__Phương tiệnvận tải,truyền đầnTriệu VND",numeric__Tài sảncó định hữuhình khácTriệu VND,numeric__Tổng cộngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm(trình bày lại),Nguyên giá > Số dư đầu năm(trình bày lại),Số dư đầu năm(trình bày lại),5.375.177,4.668.466,1.183.310,1.553.656,12.780.609,5375177.0,4668466.0,1183310.0,1553656.0,12780609.0
Tăng trong năm- Mua mới,Nguyên giá > Tăng trong năm- Mua mới,Tăng trong năm- Mua mới,235.542,137.002,62.493,87.621,522.658,235542.0,137002.0,62493.0,87621.0,522658.0
Tăng trong năm- Mua mới,Nguyên giá > Tăng trong năm- Mua mới,Tăng trong năm- Mua mới,235.542,137.002,62.493,87.350,522.387,235542.0,137002.0,62493.0,87350.0,522387.0
- Tăng khác,Nguyên giá > - Tăng khác,- Tăng khác,-,-,-,271,271,,,,271.0,271.0
"Giảm trong năm- Thanh lý, nhượng bán","Nguyên giá > Giảm trong năm- Thanh lý, nhượng bán","Giảm trong năm- Thanh lý, nhượng bán",(24.200),(266.083),(21.475),(15.347),(327.105),-24200.0,-266083.0,-21475.0,-15347.0,-327105.0
"Giảm trong năm- Thanh lý, nhượng bán","Nguyên giá > Giảm trong năm- Thanh lý, nhượng bán","Giảm trong năm- Thanh lý, nhượng bán",(11.804),(265.318),(20.262),(15.226),(312.610),-11804.0,-265318.0,-20262.0,-15226.0,-312610.0
- Giảm khác,Nguyên giá > - Giảm khác,- Giảm khác,(12.396),(765),(1.213),(121),(14.495),-12396.0,-765.0,-1213.0,-121.0,-14495.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,5.586.519,4.539.385,1.224.328,1.625.930,12.976.162,5586519.0,4539385.0,1224328.0,1625930.0,12976162.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,,
Số dư đầu năm(trình bày lại),Hao mòn lũy kế > Số dư đầu năm(trình bày lại),Số dư đầu năm(trình bày lại),1.405.675,3.993.844,801.524,1.256.645,7.457.688,1405675.0,3993844.0,801524.0,1256645.0,7457688.0
Tăng trong năm- Khấu hao,Hao mòn lũy kế > Tăng trong năm- Khấu hao,Tăng trong năm- Khấu hao,233.128,389.249,98.945,128.506,849.828,233128.0,389249.0,98945.0,128506.0,849828.0
Tăng trong năm- Khấu hao,Hao mòn lũy kế > Tăng trong năm- Khấu hao,Tăng trong năm- Khấu hao,232.126,387.133,98.945,128.506,846.710,232126.0,387133.0,98945.0,128506.0,846710.0
- Tăng khác,Hao mòn lũy kế > - Tăng khác,- Tăng khác,1.002,2.116,-,-,3.118,1002.0,2116.0,,,3118.0
"Giảm trong năm- Thanh lý, nhượng bán","Hao mòn lũy kế > Giảm trong năm- Thanh lý, nhượng bán","Giảm trong năm- Thanh lý, nhượng bán",(9.803),(265.288),(20.262),(15.562),(310.915),-9803.0,-265288.0,-20262.0,-15562.0,-310915.0
"Giảm trong năm- Thanh lý, nhượng bán","Hao mòn lũy kế > Giảm trong năm- Thanh lý, nhượng bán","Giảm trong năm- Thanh lý, nhượng bán",(9.803),(265.288),(20.262),(15.192),(310.545),-9803.0,-265288.0,-20262.0,-15192.0,-310545.0
- Giảm khác,Hao mòn lũy kế > - Giảm khác,- Giảm khác,-,-,-,(370),(370),,,,-370.0,-370.0
Số dư cuối năm,Hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,1.629.000,4.117.805,880.207,1.369.589,7.996.601,1629000.0,4117805.0,880207.0,1369589.0,7996601.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm(trình bày lại),Giá trị còn lại > Số dư đầu năm(trình bày lại),Số dư đầu năm(trình bày lại),3.969.502,674.622,381.786,297.011,5.322.921,3969502.0,674622.0,381786.0,297011.0,5322921.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,3.957.519,421.580,344.121,256.341,4.979.561,3957519.0,421580.0,344121.0,256341.0,4979561.0
