row_label_raw,row_label_full,STT,Chỉ tiêu,Thuyết minh,31/12/2022Triệu VND,31/12/2021Triệu VND(trình bày lại),numeric__Chỉ tiêu,numeric__Thuyết minh,numeric__31/12/2022Triệu VND,numeric__31/12/2021Triệu VND(trình bày lại)
B,B,B,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,,,
I,B > I,I,Các khoản nợ Chính phủ và Ngân hàng Nhà nước,16,67.314.816,9.468.116,,16.0,67314816.0,9468116.0
1,B > 1,1,"Tiền gửi và vay Chính phủ, Ngân hàng Nhà nước Việt Nam",,67.314.816,9.468.116,,,67314816.0,9468116.0
II,B > II,II,Tiền gửi và vay các tổ chức tín dụng khác,17,231.430.363,105.578.800,,17.0,231430363.0,105578800.0
1,B > 1,1,Tiền gửi của các tổ chức tín dụng khác,,222.964.448,104.878.800,,,222964448.0,104878800.0
2,B > 2,2,Vay các tổ chức tín dụng khác,,8.465.915,700.000,,,8465915.0,700000.0
III,B > III,III,Tiền gửi của khách hàng,18,1.244.500.889,1.136.759.508,,18.0,1244500889.0,1136759508.0
V,B > V,V,"Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro",19,3.298,7.707,,19.0,3298.0,7707.0
VI,B > VI,VI,Phát hành giấy tờ có giá,20,25.393.775,17.413.979,,20.0,25393775.0,17413979.0
VII,B > VII,VII,Các khoản nợ khác,,106.105.392,31.320.792,,,106105392.0,31320792.0
1,B > 1,1,"Các khoản lãi, phí phải trả",21(a),12.467.149,9.328.950,,,12467149.0,9328950.0
3,B > 3,3,Các khoản phải trả và công nợ khác,21(b),93.638.243,21.991.842,,,93638243.0,21991842.0
,,,TỔNG NỘ PHẢI TRẢ,,1.674.748.533,1.300.548.902,,,1674748533.0,1300548902.0
VIII,VIII,VIII,Vốn chủ sở hữu,,,,,,,
1,VIII > 1,1,Vốn của tổ chức tín dụng,,52.320.967,42.084.575,,,52320967.0,42084575.0
a,VIII > a,a,Vốn điều lệ,,47.325.166,37.088.774,,,47325166.0,37088774.0
c,VIII > c,c,Thặng dư vốn cổ phần,,4.995.389,4.995.389,,,4995389.0,4995389.0
g,VIII > g,g,Vốn khác,,412,412,,,412.0,412.0
2,VIII > 2,2,Quỹ của tổ chức tín dụng,,22.217.256,17.799.503,,,22217256.0,17799503.0
5,VIII > 5,5,Lợi nhuận chưa phân phối,,58.920.755,46.711.640,,,58920755.0,46711640.0
a,VIII > a,a,Lợi nhuận để lại năm trước,,36.278.497,30.678.442,,,36278497.0,30678442.0
b,VIII > b,b,Lợi nhuận để lại năm nay,,22.642.258,16.033.198,,,22642258.0,16033198.0
,,,TỔNG VỐN CHỦ SỞ HỮU,22(a),133.458.978,106.595.718,,,133458978.0,106595718.0
,,,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,1.808.207.511,1.407.144.620,,,1808207511.0,1407144620.0
