row_label_raw,row_label_full,col_0,Chưa quá hạn và chưa bị giảm giá Triệu VND,Đã quá hạn nhưng chưa bị giảm giá Triệu VND,Đã bị giảm giá và trích lập dự phòng Triệu VND,Tổng cộngTriệu VND,numeric__Chưa quá hạn và chưa bị giảm giá Triệu VND,numeric__Đã quá hạn nhưng chưa bị giảm giá Triệu VND,numeric__Đã bị giảm giá và trích lập dự phòng Triệu VND,numeric__Tổng cộngTriệu VND
Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,92.451.066,-,-,92.451.066,92451066.0,,,92451066.0
Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,315.678.424,-,11.000.000,326.678.424,315678424.0,,11000000.0,326678424.0
Tiền gửi tại các tổ chức tín dụng khác,Tiền gửi tại các tổ chức tín dụng khác,Tiền gửi tại các tổ chức tín dụng khác,281.713.759,-,-,281.713.759,281713759.0,,,281713759.0
Cho vay các tổ chức tín dụng khác,Cho vay các tổ chức tín dụng khác,Cho vay các tổ chức tín dụng khác,33.964.665,-,11.000.000,44.964.665,33964665.0,,11000000.0,44964665.0
Chứng khoán kinh doanh – gộp,Chứng khoán kinh doanh – gộp,Chứng khoán kinh doanh – gộp,-,-,-,-,,,,
Cho vay khách hàng – gộp,Chứng khoán kinh doanh – gộp > Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,1.104.240.524,11.675.536,20.287.842,1.136.203.902,1104240524.0,11675536.0,20287842.0,1136203902.0
Chứng khoán đầu tư – gộp,Chứng khoán kinh doanh – gộp > Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,196.082.460,-,-,196.082.460,196082460.0,,,196082460.0
Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán kinh doanh – gộp > Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,100.667.447,-,-,100.667.447,100667447.0,,,100667447.0
Chứng khoán đầu tư giữ đến ngày đáo hạn,Chứng khoán kinh doanh – gộp > Chứng khoán đầu tư giữ đến ngày đáo hạn,Chứng khoán đầu tư giữ đến ngày đáo hạn,95.415.013,-,-,95.415.013,95415013.0,,,95415013.0
Tài sản Có khác,Chứng khoán kinh doanh – gộp > Tài sản Có khác,Tài sản Có khác,31.749.809,-,-,31.749.809,31749809.0,,,31749809.0
,,,1.740.202.283,11.675.536,31.287.842,1.783.165.661,1740202283.0,11675536.0,31287842.0,1783165661.0
