row_label_raw,row_label_full,Năm kết thúc ngày 31 tháng 12 năm 2022,Năm kết thúc ngày 31 tháng 12 năm 2022_1,Miền Bắc (*) > Triệu VND,Miền Trung và Tây Nguyên > Triệu VND,Miền Nam > Triệu VND,Loại trừ > Triệu VND,Tổng cộng > Triệu VND,numeric__Năm kết thúc ngày 31 tháng 12 năm 2022_1,numeric__Miền Bắc (*) > Triệu VND,numeric__Miền Trung và Tây Nguyên > Triệu VND,numeric__Miền Nam > Triệu VND,numeric__Loại trừ > Triệu VND,numeric__Tổng cộng > Triệu VND
1,1,1,Thu nhập lãi và các khoản thu nhập tương tự,113.183.862,20.398.788,60.588.025,(106.973.339),87.197.336,,113183862.0,20398788.0,60588025.0,-106973339.0,87197336.0
2,2,2,Chi phí lãi và các chi phí tương tự,(92.928.827),(12.461.684),(36.226.613),106.973.339,(34.643.785),,-92928827.0,-12461684.0,-36226613.0,106973339.0,-34643785.0
I,I,I,Thu nhập lãi thuần,20.255.035,7.937.104,24.361.412,-,52.553.551,,20255035.0,7937104.0,24361412.0,,52553551.0
3,3,3,Thu nhập từ hoạt động dịch vụ,8.375.619,890.715,3.375.197,(794.615),11.846.916,,8375619.0,890715.0,3375197.0,-794615.0,11846916.0
4,4,4,Chi phí hoạt động dịch vụ,(6.096.296),(39.285),(98.559),794.615,(5.439.525),,-6096296.0,-39285.0,-98559.0,794615.0,-5439525.0
II,II,II,Lãi thuần từ hoạt động dịch vụ,2.279.323,851.430,3.276.638,-,6.407.391,,2279323.0,851430.0,3276638.0,,6407391.0
III,III,III,Lãi thuần từ hoạt động kinh doanh ngoại hối,3.693.002,246.348,1.821.560,-,5.760.910,,3693002.0,246348.0,1821560.0,,5760910.0
IV,IV,IV,Lỗ thuần từ mua bán chứng khoán kinh doanh,(164.586),-,-,-,(164.586),,-164586.0,,,,-164586.0
V,V,V,Lỗ thuần từ mua bán chứng khoán đầu tư,81.209,-,-,-,81.209,,81209.0,,,,81209.0
5,5,5,Thu nhập từ hoạt động khác,1.252.288,634.594,991.018,-,2.877.900,,1252288.0,634594.0,991018.0,,2877900.0
6,6,6,Chi phí hoạt động khác,(579.144),(57.024),(161.695),-,(797.863),,-579144.0,-57024.0,-161695.0,,-797863.0
VI,VI,VI,Lãi thuần từ hoạt động khác,673.144,577.570,829.323,-,2.080.037,,673144.0,577570.0,829323.0,,2080037.0
VII,VII,VII,"Thu nhập từ góp vốn, mua cổ phần",233.381,-,-,-,233.381,,233381.0,,,,233381.0
,,,Tổng thu nhập hoạt động,27.050.508,9.612.452,30.288.933,-,66.951.893,,27050508.0,9612452.0,30288933.0,,66951893.0
VIII,VIII,VIII,Chi phí hoạt động,(12.213.566),(2.315.148),(6.274.677),-,(20.803.391),,-12213566.0,-2315148.0,-6274677.0,,-20803391.0
IX,IX,IX,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,14.836.942,7.297.304,24.014.256,-,46.148.502,,14836942.0,7297304.0,24014256.0,,46148502.0
X,X,X,Chi phí dự phòng rủi ro tín dụng,(4.681.193),(934.953),(3.829.865),-,(9.446.011),,-4681193.0,-934953.0,-3829865.0,,-9446011.0
XI,XI,XI,Tổng lợi nhuận trước thuế,10.155.749,6.362.351,20.184.391,-,36.702.491,,10155749.0,6362351.0,20184391.0,,36702491.0
7,7,7,Chi phí thuế TNDN hiện hành,(2.955.753),(1.272.470),(4.036.878),-,(8.265.101),,-2955753.0,-1272470.0,-4036878.0,,-8265101.0
8,8,8,Chi phí thuế TNDN hoãn lại,949.616,-,-,-,949.616,,949616.0,,,,949616.0
XII,XII,XII,Chi phí thuế TNDN,(2.006.137),(1.272.470),(4.036.878),-,(7.315.485),,-2006137.0,-1272470.0,-4036878.0,,-7315485.0
XIII,XIII,XIII,Lợi nhuận sau thuế,8.149.612,5.089.881,16.147.513,-,29.387.006,,8149612.0,5089881.0,16147513.0,,29387006.0
