row_label_raw,row_label_full,STT,Chỉ tiêu,2022Triệu VND,2021Triệu VND,numeric__Chỉ tiêu,numeric__2022Triệu VND,numeric__2021Triệu VND
,,,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,
01,01,01,Mua sắm tài sản cố định,(678.089),(1.604.109),,-678089.0,-1604109.0
02,02,02,"Tiền thu từ thanh lý, nhượng bán tài sản cố định",8.014,6.192,,8014.0,6192.0
03,03,03,"Tiền chi cho thanh lý, nhượng bán tài sản cố định",(4.808),(1.201),,-4808.0,-1201.0
07,07,07,"Tiền chi đầu tư, góp vốn vào các đơn vị khác",(1.034.820),(201.822),,-1034820.0,-201822.0
08,08,08,"Tiền thu đầu tư, góp vốn vào các đơn vị khác",201.899,13.791,,201899.0,13791.0
09,09,09,"Tiền thu cổ tức và lợi nhuận được chia từ các khoảnđầu tư, góp vốn dài hạn",153.113,139.949,,153113.0,139949.0
II,II,II,Lưu chuyển tiền thuần cho hoạt động đầu tư,(1.354.691),(1.647.200),,-1354691.0,-1647200.0
,,,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,
03,03,03,Cổ tức đã trả cho cổ đông,(3.329.224),(1.869.048),,-3329224.0,-1869048.0
III,III,III,Lưu chuyển tiền thuần cho hoạt động tài chính,(3.329.224),(1.869.048),,-3329224.0,-1869048.0
IV,IV,IV,Lưu chuyển tiền thuần trong năm,179.634.691,(58.323.388),,179634691.0,-58323388.0
V,V,V,Tiền và các khoản tương đương tiềntại thời điểm đầu năm,232.843.012,291.166.400,,232843012.0,291166400.0
VII,VII,VII,Tiền và các khoản tương đương tiền tại thời điểmcuối năm (Thuyết minh 34),412.477.703,232.843.012,,412477703.0,232843012.0
