row_label_raw,row_label_full,col_0,col_1,Quá hạnTriệu VND,Không chịu lãiTriệu VND,Dưới 1 thángTriệu VND,Từ 1 đến 3 thángTriệu VND,Từ trên 3 tháng đến 6 thángTriệu VND,Từ trên 6 tháng đến 12 thángTriệu VND,Từ trên 1 năm đến 5 nămTriệu VND,Trên 5 nămTriệu VND,Tổng cộngTriệu VND,numeric__col_1,numeric__Quá hạnTriệu VND,numeric__Không chịu lãiTriệu VND,numeric__Dưới 1 thángTriệu VND,numeric__Từ 1 đến 3 thángTriệu VND,numeric__Từ trên 3 tháng đến 6 thángTriệu VND,numeric__Từ trên 6 tháng đến 12 thángTriệu VND,numeric__Từ trên 1 năm đến 5 nămTriệu VND,numeric__Trên 5 nămTriệu VND,numeric__Tổng cộngTriệu VND
I,I,I,Tài sân,,,,,,,,,,,,,,,,,,,
I,I > I,I,"Tiền mặt, vàng bạc, đá quý",-,18.310.646,-,-,-,-,-,-,18.310.646,,,18310646.0,,,,,,,18310646.0
II,I > II,II,Tiền gửi tại NHNNVN,-,-,92.451.066,-,-,-,-,-,92.451.066,,,,92451066.0,,,,,,92451066.0
III,I > III,III,Tiền gửi và cho vay các TCTD khác – gộp,-,-,284.026.298,25.430.230,13.202.981,4.018.915,-,-,326.678.424,,,,284026298.0,25430230.0,13202981.0,4018915.0,,,326678424.0
IV,I > IV,IV,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,156.515,-,-,-,-,-,-,156.515,,,156515.0,,,,,,,156515.0
V,I > V,V,Cho vay khách hàng – gộp,19.017.600,-,211.181.568,390.939.316,343.250.722,81.161.689,87.527.806,3.125.201,1.136.203.902,,19017600.0,,211181568.0,390939316.0,343250722.0,81161689.0,87527806.0,3125201.0,1136203902.0
VI,I > VI,VI,Chứng khoản đầu tư – gộp,-,-,32.170.005,20.984.364,17.028.782,17.478.351,78.180.733,30.240.225,196.082.460,,,,32170005.0,20984364.0,17028782.0,17478351.0,78180733.0,30240225.0,196082460.0
VII,I > VII,VII,"Góp vốn, đầu tư dài hạn – gộp",-,6.681.190,-,-,-,-,-,-,6.681.190,,,6681190.0,,,,,,,6681190.0
VIII,I > VIII,VIII,Tài sân cố định,-,7.774.214,-,-,-,-,-,-,7.774.214,,,7774214.0,,,,,,,7774214.0
IX,I > IX,IX,Tài sân Có khác – gộp,-,59.588.764,-,-,-,-,-,-,59.588.764,,,59588764.0,,,,,,,59588764.0
,,,Tổng tài sân,19.017.600,92.511.329,619.828.937,437.353.910,373.482.485,102.658.955,165.708.539,33.365.426,1.843.927.181,,19017600.0,92511329.0,619828937.0,437353910.0,373482485.0,102658955.0,165708539.0,33365426.0,1843927181.0
I,I,I,Nợ phải trả,,,,,,,,,,,,,,,,,,,
I,I > I,I,Các khoản nợ Chính phủ và NHNNVN và tiền gửi và vay các TCTD khác,-,-,282.237.487,11.848.165,4.635.315,24.212,-,-,298.745.179,,,,282237487.0,11848165.0,4635315.0,24212.0,,,298745179.0
II,I > II,II,Tiền gửi của khách hàng,-,-,678.987.342,162.615.131,165.561.403,216.292.083,21.044.930,-,1.244.500.889,,,,678987342.0,162615131.0,165561403.0,216292083.0,21044930.0,,1244500889.0
III,I > III,III,"Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",-,-,-,-,1.473,-,1.825,-,3.298,,,,,,1473.0,,1825.0,,3298.0
IV,I > IV,IV,Phát hành giấy tờ có giá,-,-,905,11.000.000,3.000.000,5.338.750,4.180.000,1.874.120,25.393.775,,,,905.0,11000000.0,3000000.0,5338750.0,4180000.0,1874120.0,25393775.0
V,I > V,V,Các khoản nợ phải trả khác,-,105.398.251,-,707.141,-,-,-,-,106.105.392,,,105398251.0,,707141.0,,,,,106105392.0
,,,Tổng nợ phải trả,-,105.398.251,961.225.734,186.170.437,173.198.191,221.655.045,25.226.755,1.874.120,1.674.748.533,,,105398251.0,961225734.0,186170437.0,173198191.0,221655045.0,25226755.0,1874120.0,1674748533.0
,,,Mức chênh nhạy cảm với lãi suất nội bằng,19.017.600,(12.886.922),(341.396.797),251.183.473,200.284.294,(118.996.090),140.481.784,31.491.306,169.178.648,,19017600.0,-12886922.0,-341396797.0,251183473.0,200284294.0,-118996090.0,140481784.0,31491306.0,169178648.0
,,,Lũy kế chênh lệch nhạy cảm với lãi suất,19.017.600,6.130.678,(335.266.119),(84.082.646),116.201.648,(2.794.442),137.687.342,169.178.648,,,19017600.0,6130678.0,-335266119.0,-84082646.0,116201648.0,-2794442.0,137687342.0,169178648.0,
