row_label_raw,row_label_full,STT,Chỉ tiêu,Thuyết minh,31/12/2022Triệu VND,31/12/2021Triệu VND(trình bày lại),numeric__Chỉ tiêu,numeric__Thuyết minh,numeric__31/12/2022Triệu VND,numeric__31/12/2021Triệu VND(trình bày lại)
A,A,A,TÀI SẢN,,,,,,,
I,A > I,I,"Tiền mặt, vàng bạc, đá quý",4,18.310.646,17.930.467,,4.0,18310646.0,17930467.0
II,A > II,II,Tiền gửi tại Ngân hàng Nhà nước Việt Nam,5,92.451.066,22.310.992,,5.0,92451066.0,22310992.0
III,A > III,III,Tiền gửi và cho vay các tổ chức tín dụng khác,6,315.838.424,227.601.730,,6.0,315838424.0,227601730.0
1,A > 1,1,Tiền gửi tại các tổ chức tín dụng khác,,281.713.759,179.461.016,,,281713759.0,179461016.0
2,A > 2,2,Cho vay các tổ chức tín dụng khác,,44.964.665,52.093.495,,,44964665.0,52093495.0
3,A > 3,3,Dự phòng rủi ro,,(10.840.000),(3.952.781),,,-10840000.0,-3952781.0
IV,A > IV,IV,Chứng khoán kinh doanh,7,-,779.371,,7.0,,779371.0
1,A > 1,1,Chứng khoán kinh doanh,,-,799.376,,,,799376.0
2,A > 2,2,Dự phòng giảm giá chứng khoán kinh doanh,,-,(20.005),,,,-20005.0
V,A > V,V,Các công cụ tài chính phải sinh vàcác tài sản tài chính khác,8,156.515,303.202,,8.0,156515.0,303202.0
VI,A > VI,VI,Cho vay khách hàng,,1.111.524.064,926.376.110,,,1111524064.0,926376110.0
1,A > 1,1,Cho vay khách hàng,9,1.136.203.902,952.018.701,,9.0,1136203902.0,952018701.0
2,A > 2,2,Dự phòng rủi ro cho vay khách hàng,10,(24.679.838),(25.642.591),,10.0,-24679838.0,-25642591.0
VIII,A > VIII,VIII,Chứng khoán đầu tư,11,196.000.627,170.396.896,,11.0,196000627.0,170396896.0
1,A > 1,1,Chứng khoán đầu tư sẵn sàng để bán,,100.667.447,71.014.312,,,100667447.0,71014312.0
2,A > 2,2,Chứng khoán đầu tư giữ đến ngày đáo hạn,,95.415.013,99.557.595,,,95415013.0,99557595.0
3,A > 3,3,Dự phòng rủi ro chứng khoán đầu tư,,(81.833),(175.011),,,-81833.0,-175011.0
IX,A > IX,IX,"Góp vốn, đầu tư dài hạn",,6.563.191,5.703.686,,,6563191.0,5703686.0
1,A > 1,1,Đầu tư vào công ty con,12(a),4.595.420,3.560.600,,,4595420.0,3560600.0
2,A > 2,2,Vốn góp liên doanh,12(b),545.515,545.515,,,545515.0,545515.0
3,A > 3,3,Đầu tư vào công ty liên kết,12(c),11.110,11.110,,,11110.0,11110.0
4,A > 4,4,Đầu tư dài hạn khác,12(d),1.529.145,1.661.461,,,1529145.0,1661461.0
5,A > 5,5,Dự phòng giảm giá đầu tư dài hạn,12(e),(117.999),(75.000),,,-117999.0,-75000.0
X,A > X,X,Tài sản cố định,,7.774.214,8.382.739,,,7774214.0,8382739.0
1,A > 1,1,Tài sản cố định hữu hình,13,4.979.561,5.322.921,,13.0,4979561.0,5322921.0
a,A > a,a,Nguyên giá tài sản cố định,,12.976.162,12.780.609,,,12976162.0,12780609.0
b,A > b,b,Hao mòn tài sản cố định,,(7.996.601),(7.457.688),,,-7996601.0,-7457688.0
3,A > 3,3,Tài sản cố định vô hình,14,2.794.653,3.059.818,,14.0,2794653.0,3059818.0
a,A > a,a,Nguyên giá tài sản cố định,,4.719.202,4.563.318,,,4719202.0,4563318.0
b,A > b,b,Hao mòn tài sản cố định,,(1.924.549),(1.503.500),,,-1924549.0,-1503500.0
XII,A > XII,XII,Tài sản Có khác,,59.588.764,27.359.427,,,59588764.0,27359427.0
1,A > 1,1,Các khoản phải thu,15(a),23.355.542,14.164.925,,,23355542.0,14164925.0
2,A > 2,2,"Các khoản lãi, phí phải thu",15(b),9.082.140,6.954.169,,,9082140.0,6954169.0
3,A > 3,3,Tài sản thuế thu nhập doanh nghiệp hoãn lại,15(c),949.616,-,,,949616.0,
4,A > 4,4,Tài sản Có khác,15(d),26.201.466,6.240.333,,,26201466.0,6240333.0
,,,TỔNG TÀI SẢN CÓ,,1.808.207.511,1.407.144.620,,,1808207511.0,1407144620.0
