row_label_raw,row_label_full,col_0,Vốn điều lệ,Thặng dư vốn cổ phần,Vốn khác,Quỹ của tổ chức tín dụng,Quỹ của tổ chức tín dụng_1,Quỹ của tổ chức tín dụng_2,Lợi nhuận chưa phân phối,Tổng cộng,numeric__Vốn điều lệ,numeric__Thặng dư vốn cổ phần,numeric__Vốn khác,numeric__Quỹ của tổ chức tín dụng,numeric__Quỹ của tổ chức tín dụng_1,numeric__Quỹ của tổ chức tín dụng_2,numeric__Lợi nhuận chưa phân phối,numeric__Tổng cộng
,,,Vốn điều lệ,Thặng dư vốn cổ phần,Vốn khác,Quỹ dự trữ bổ sung vốn điều lệ Triệu VND,Quỹ dự phòng tài chính Triệu VND,Tổng cộng,Triệu VND,Triệu VND,,,,,,,,
Số dư tại ngày 1/1/2022(trình bày lại),Số dư tại ngày 1/1/2022(trình bày lại),Số dư tại ngày 1/1/2022(trình bày lại),37.088.774,4.995.389,412,5.960.709,11.838.794,17.799.503,46.711.640,106.595.718,37088774.0,4995389.0,412.0,5960709.0,11838794.0,17799503.0,46711640.0,106595718.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,29.387.006,29.387.006,,,,,,,29387006.0,29387006.0
Phát hành cổ phiếu thường tăng vốn trong kỳ,Phát hành cổ phiếu thường tăng vốn trong kỳ,Phát hành cổ phiếu thường tăng vốn trong kỳ,10.236.392,-,-,-,-,-,(10.236.392),-,10236392.0,,,,,,-10236392.0,
Tạm trích các quỹ dự trữ bắt buộc (“DTBB”) trong năm 2022,Tạm trích các quỹ dự trữ bắt buộc (“DTBB”) trong năm 2022,Tạm trích các quỹ dự trữ bắt buộc (“DTBB”) trong năm 2022,-,-,-,1.469.350,2.938.701,4.408.051,(4.408.051),-,,,,1469350.0,2938701.0,4408051.0,-4408051.0,
"Tạm trích quỹ khen thưởng, phúc lợi (“KTPL”) trong năm 2022","Tạm trích quỹ khen thưởng, phúc lợi (“KTPL”) trong năm 2022","Tạm trích quỹ khen thưởng, phúc lợi (“KTPL”) trong năm 2022",-,-,-,-,-,-,(2.336.696),(2.336.696),,,,,,,-2336696.0,-2336696.0
Điều chỉnh trích lập các quỹ DTBB và quỹ KTPL theo Nghị quyết của Đại hội đồng cổ đông,Điều chỉnh trích lập các quỹ DTBB và quỹ KTPL theo Nghị quyết của Đại hội đồng cổ đông,Điều chỉnh trích lập các quỹ DTBB và quỹ KTPL theo Nghị quyết của Đại hội đồng cổ đông,-,-,-,3.614,7.227,10.841,(199.508),(188.667),,,,3614.0,7227.0,10841.0,-199508.0,-188667.0
Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,-,-,-,-,(1.139),(1.139),-,(1.139),,,,,-1139.0,-1139.0,,-1139.0
Biến động khác,Biến động khác,Biến động khác,-,-,-,-,-,-,2.756,2.756,,,,,,,2756.0,2756.0
Số dư tại ngày 31/12/2022,Số dư tại ngày 31/12/2022,Số dư tại ngày 31/12/2022,47.325.166,4.995.389,412,7.433.673,14.783.583,22.217.256,58.920.755,133.458.978,47325166.0,4995389.0,412.0,7433673.0,14783583.0,22217256.0,58920755.0,133458978.0
