row_label_raw,row_label_full,col_0,Quyền sử dụng đất Triệu VND,Bản quyền và bằng sáng chế Triệu VND,Tài sản cố định vô hình khác Triệu VND,Tổng cộng Triệu VND,numeric__Quyền sử dụng đất Triệu VND,numeric__Bản quyền và bằng sáng chế Triệu VND,numeric__Tài sản cố định vô hình khác Triệu VND,numeric__Tổng cộng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,2.477.163,2.070.942,15.213,4.563.318,2477163.0,2070942.0,15213.0,4563318.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,155.884,-,155.884,,155884.0,,155884.0
- Mua mới,Nguyên giá > - Mua mới,- Mua mới,-,155.702,-,155.702,,155702.0,,155702.0
- Tăng khác,Nguyên giá > - Tăng khác,- Tăng khác,-,182,-,182,,182.0,,182.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,2.477.163,2.226.826,15.213,4.719.202,2477163.0,2226826.0,15213.0,4719202.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,
Số dư đầu năm,Hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,105.669,1.397.831,-,1.503.500,105669.0,1397831.0,,1503500.0
Tăng trong năm,Hao mòn lũy kế > Tăng trong năm,Tăng trong năm,11.584,428.949,-,440.533,11584.0,428949.0,,440533.0
- Khấu hao,Hao mòn lũy kế > - Khấu hao,- Khấu hao,11.584,411.678,-,423.262,11584.0,411678.0,,423262.0
- Tăng khác,Hao mòn lũy kế > - Tăng khác,- Tăng khác,,17.271,-,17.271,,17271.0,,17271.0
Giảm trong năm,Hao mòn lũy kế > Giảm trong năm,Giảm trong năm,-,(19.484),-,(19.484),,-19484.0,,-19484.0
- Giảm khác,Hao mòn lũy kế > - Giảm khác,- Giảm khác,-,(19.484),-,(19.484),,-19484.0,,-19484.0
Số dư cuối năm,Hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,117.253,1.807.296,-,1.924.549,117253.0,1807296.0,,1924549.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,2.371.494,673.111,15.213,3.059.818,2371494.0,673111.0,15213.0,3059818.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,2.359.910,419.530,15.213,2.794.653,2359910.0,419530.0,15213.0,2794653.0
