row_label_raw,row_label_full,col_0,col_1,31/12/2022Triệu VND,31/12/2021Triệu VND(trình bày lại),numeric__col_1,numeric__31/12/2022Triệu VND,numeric__31/12/2021Triệu VND(trình bày lại)
,,,,Các khoản phải thu nội bộ,2.590.516,,,2590516.0
,,,,Các khoản phải thu bên ngoài (i),20.765.026,,,20765026.0
,,,,,23.355.542,,,23355542.0
(i),(i),(i),Các khoản phải thu bên ngoài,,,,,
(i),(i),(i),Các khoản phải thu bên ngoài,31/12/2022Triệu VND,31/12/2021Triệu VND(trình bày lại),,,
(i),(i) > (i),(i),Tạm ứng mua sắm tài sản cố định,874.302,1.155.796,,874302.0,1155796.0
(i),(i) > (i),(i),Phải thu từ ngân sách Nhà nước về hỗ trợ lãi suất,271.746,338.989,,271746.0,338989.0
(i),(i) > (i),(i),Thuế thu nhập doanh nghiệp nộp thừa (Thuyết minh 36),44.457,307,,44457.0,307.0
(i),(i) > (i),(i),Thuế giá trị gia tăng được khấu trừ (Thuyết minh 36),-,92,,,92.0
(i),(i) > (i),(i),Tạm ứng thuế khác (Thuyết minh 36),2,2,,2.0,2.0
(i),(i) > (i),(i),Chi phí xây dựng cơ bản dở dang (*),241.567,302.160,,241567.0,302160.0
(i),(i) > (i),(i),Phải thu trong thanh toán L/C được thanh toán trước hạn,17.041.450,8.805.446,,17041450.0,8805446.0
(i),(i) > (i),(i),Các khoản phải thu khác,2.291.502,1.881.344,,2291502.0,1881344.0
(i),(i) > (i),(i),,20.765.026,12.484.136,,20765026.0,12484136.0
(*),(*),(*),Chi tiết của chi phí xây dựng cơ bản dở dang như sau:,,,,,
(*),(*),(*),Chi tiết của chi phí xây dựng cơ bản dở dang như sau:,31/12/2022Triệu VND,31/12/2021Triệu VND,,,
(*),(*) > (*),(*),Xây dựng cơ bản dở dang,241.567,302.160,,241567.0,302160.0
(*),(*) > (*),(*),"Trong đó, những dự án lớn:",118.378,296.236,,118378.0,296236.0
(*),(*) > (*),(*),Dự án trụ sở Chi nhánh Phú Thọ,24.016,36.968,,24016.0,36968.0
(*),(*) > (*),(*),Dự án trụ sở Chi nhánh Đồng Tháp,19.136,40.858,,19136.0,40858.0
(*),(*) > (*),(*),Dự án trụ sở Chi nhánh Vũng Tàu,18.178,30.631,,18178.0,30631.0
(*),(*) > (*),(*),Dự án trụ sở Chi nhánh Thái Bình,17.983,32.730,,17983.0,32730.0
(*),(*) > (*),(*),Dự án trụ sở Chi nhánh Bạc Liêu,10.824,35.761,,10824.0,35761.0
(*),(*) > (*),(*),Dự án trụ sở Chi nhánh Thủ Đức,7.809,22.032,,7809.0,22032.0
(*),(*) > (*),(*),Dự án trụ sở Chi nhánh Tân Định,5.070,26.912,,5070.0,26912.0
(*),(*) > (*),(*),Dự án trụ sở Chi nhánh Lào Cai,5.028,16.729,,5028.0,16729.0
(*),(*) > (*),(*),Dự án trụ sở Chi nhánh Cần Thơ,3.065,28.127,,3065.0,28127.0
(*),(*) > (*),(*),Dự án trụ sở Chi nhánh Bắc Sài Gòn,2.504,8.273,,2504.0,8273.0
(*),(*) > (*),(*),Dự án trụ sở Chi nhánh Phú Yên,2.478,1.351,,2478.0,1351.0
(*),(*) > (*),(*),Dự án trụ sở Chi nhánh Lạng Sơn,2.287,15.864,,2287.0,15864.0
