row_label_raw,row_label_full,col_0,Năm 2021(trình bày lại),Năm 2021(theo báo cáotrước đây),Chênh lệchTriệu VND,numeric__Năm 2021(trình bày lại),numeric__Năm 2021(theo báo cáotrước đây),numeric__Chênh lệchTriệu VND
Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,69.811.192(28.177.488),69.938.237(28.177.488),(127.045)-,,,
Chi phí lãi và các khoản chi phí tương tự,Chi phí lãi và các khoản chi phí tương tự,Chi phí lãi và các khoản chi phí tương tự,69.811.192(28.177.488),69.938.237(28.177.488),(127.045)-,,,
Thu nhập lãi thuần,Chi phí lãi và các khoản chi phí tương tự > Thu nhập lãi thuần,Thu nhập lãi thuần,41.633.704,41.760.749,(127.045),41633704.0,41760749.0,-127045.0
"Thu nhập từ góp vốn, mua cổ phần","Chi phí lãi và các khoản chi phí tương tự > Thu nhập từ góp vốn, mua cổ phần","Thu nhập từ góp vốn, mua cổ phần",167.973,143.876,24.097,167973.0,143876.0,24097.0
TỔNG THU NHẬP HOẠT ĐỘNG,Chi phí lãi và các khoản chi phí tương tự > TỔNG THU NHẬP HOẠT ĐỘNG,TỔNG THU NHẬP HOẠT ĐỘNG,55.238.035,55.340.983,(102.948),55238035.0,55340983.0,-102948.0
CHI PHÍ HOẠT ĐỘNG,Chi phí lãi và các khoản chi phí tương tự > CHI PHÍ HOẠT ĐỘNG,CHI PHÍ HOẠT ĐỘNG,(17.245.169),(17.153.469),(91.700),-17245169.0,-17153469.0,-91700.0
Lợi nhuận thuần từ hoạt động kinhdoanh trước chi phí dự phòng rủi rotín dụng,Chi phí lãi và các khoản chi phí tương tự > Lợi nhuận thuần từ hoạt động kinhdoanh trước chi phí dự phòng rủi rotín dụng,Lợi nhuận thuần từ hoạt động kinhdoanh trước chi phí dự phòng rủi rotín dụng,37.992.866,38.187.514,(194.648),37992866.0,38187514.0,-194648.0
Chi phí dự phòng rủi ro tín dụng,Chi phí lãi và các khoản chi phí tương tự > Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,(11.448.190),(11.730.793),282.603,-11448190.0,-11730793.0,282603.0
TỔNG LỢI NHUẬN TRƯỚC THUẾ,Chi phí lãi và các khoản chi phí tương tự > TỔNG LỢI NHUẬN TRƯỚC THUẾ,TỔNG LỢI NHUẬN TRƯỚC THUẾ,26.544.676,26.456.721,87.955,26544676.0,26456721.0,87955.0
Chi phí thuế thu nhập doanh nghiệp - hiện hành,Chi phí lãi và các khoản chi phí tương tự > Chi phí thuế thu nhập doanh nghiệp - hiện hành,Chi phí thuế thu nhập doanh nghiệp - hiện hành,(4.376.167),(4.363.395),(12.772),-4376167.0,-4363395.0,-12772.0
Chi phí thuế thu nhập doanh nghiệp - hoãn lại,Chi phí lãi và các khoản chi phí tương tự > Chi phí thuế thu nhập doanh nghiệp - hoãn lại,Chi phí thuế thu nhập doanh nghiệp - hoãn lại,(902.392),(902.392),-,-902392.0,-902392.0,
Chi phí thuế thu nhập doanh nghiệp,Chi phí lãi và các khoản chi phí tương tự > Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,(5.278.559),(5.265.787),(12.772),-5278559.0,-5265787.0,-12772.0
LỢI NHUẬN SAU THUẾ,Chi phí lãi và các khoản chi phí tương tự > LỢI NHUẬN SAU THUẾ,LỢI NHUẬN SAU THUẾ,21.266.117,21.190.934,75.183,21266117.0,21190934.0,75183.0
