row_label_raw,row_label_full,TÀI SẢN,Mã số,TM,Tại ngày 31/12/2022,Tại ngày 01/01/2022,numeric__Mã số,numeric__TM,numeric__Tại ngày 31/12/2022,numeric__Tại ngày 01/01/2022
B. TÀI SẢN DÀI HẠN,B. TÀI SẢN DÀI HẠN,B. TÀI SẢN DÀI HẠN,200,,3.359.100.009.355,3.373.339.430.619,200.0,,3359100009355.0,3373339430619.0
I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,210,,1.274.817.500,200.000.000,210.0,,1274817500.0,200000000.0
1. Trả trước cho người bán dài hạn,1. Trả trước cho người bán dài hạn,1. Trả trước cho người bán dài hạn,212,,200.000.000,200.000.000,212.0,,200000000.0,200000000.0
2. Phải thu dài hạn khác,2. Phải thu dài hạn khác,2. Phải thu dài hạn khác,216,4.4,1.074.817.500,-,216.0,44.0,1074817500.0,
II. Tài sản cố định,II. Tài sản cố định,II. Tài sản cố định,220,,4.261.666.834,12.973.727.287,220.0,,4261666834.0,12973727287.0
1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,221,4.7,2.672.006.674,3.588.342.643,221.0,47.0,2672006674.0,3588342643.0
Nguyên giá,Nguyên giá,Nguyên giá,222,,13.957.728.268,13.879.024.565,222.0,,13957728268.0,13879024565.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,223,,(11.285.721.594),(10.290.681.922),223.0,,-11285721594.0,-10290681922.0
2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,227,4.8,1.589.660.160,9.385.384.644,227.0,48.0,1589660160.0,9385384644.0
Nguyên giá,Nguyên giá,Nguyên giá,228,,6.293.967.770,14.248.840.250,228.0,,6293967770.0,14248840250.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,229,,(4.704.307.610),(4.863.455.606),229.0,,-4704307610.0,-4863455606.0
III. Bất động sản đầu tư,III. Bất động sản đầu tư,III. Bất động sản đầu tư,230,4.9,29.521.654.282,29.263.522.148,230.0,49.0,29521654282.0,29263522148.0
1. Nguyên giá,1. Nguyên giá,1. Nguyên giá,231,,144.992.848.847,142.408.783.302,231.0,,144992848847.0,142408783302.0
2. Giá trị hao mòn lũy kế,2. Giá trị hao mòn lũy kế,2. Giá trị hao mòn lũy kế,232,,(115.471.194.565),(113.145.261.154),232.0,,-115471194565.0,-113145261154.0
IV. Tài sản dở dang dài hạn,IV. Tài sản dở dang dài hạn,IV. Tài sản dở dang dài hạn,240,,29.925.705.705,6.424.868.403,240.0,,29925705705.0,6424868403.0
1. Chi phí xây dựng cơ bản dở dang,1. Chi phí xây dựng cơ bản dở dang,1. Chi phí xây dựng cơ bản dở dang,242,4.10,29.925.705.705,6.424.868.403,242.0,410.0,29925705705.0,6424868403.0
V. Đầu tư tài chính dài hạn,V. Đầu tư tài chính dài hạn,V. Đầu tư tài chính dài hạn,250,4.2,3.176.852.406.727,3.204.885.275.373,250.0,42.0,3176852406727.0,3204885275373.0
1. Đầu tư vào công ty con,1. Đầu tư vào công ty con,1. Đầu tư vào công ty con,251,,1.744.762.870.217,1.744.762.870.217,251.0,,1744762870217.0,1744762870217.0
"2. Đầu tư vào công ty liên doanh, liên kết","2. Đầu tư vào công ty liên doanh, liên kết","2. Đầu tư vào công ty liên doanh, liên kết",252,,1.314.423.201.487,1.314.856.869.951,252.0,,1314423201487.0,1314856869951.0
3. Đầu tư góp vốn vào đơn vị khác,3. Đầu tư góp vốn vào đơn vị khác,3. Đầu tư góp vốn vào đơn vị khác,253,,149.148.164.350,149.148.164.350,253.0,,149148164350.0,149148164350.0
4. Dự phòng đầu tư tài chính dài hạn,4. Dự phòng đầu tư tài chính dài hạn,4. Dự phòng đầu tư tài chính dài hạn,254,,(31.481.829.327),(3.882.629.145),254.0,,-31481829327.0,-3882629145.0
VI. Tài sản dài hạn khác,VI. Tài sản dài hạn khác,VI. Tài sản dài hạn khác,260,,117.263.758.307,119.592.037.408,260.0,,117263758307.0,119592037408.0
1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,261,4.11,117.263.758.307,119.592.037.408,261.0,411.0,117263758307.0,119592037408.0
TỔNG CỘNG TÀI SẢN (270 = 100 + 200),TỔNG CỘNG TÀI SẢN (270 = 100 + 200),TỔNG CỘNG TÀI SẢN (270 = 100 + 200),270,,4.477.370.237.304,4.386.359.224.762,270.0,,4477370237304.0,4386359224762.0
