row_label_raw,row_label_full,1.,Công ty Cổ phần Cấp nước Đồng Nai,numeric__Công ty Cổ phần Cấp nước Đồng Nai
2.,2.,2.,Công ty Cổ phần Phát triển Đô thị Công nghiệp Số 2,
3.,3.,3.,Công ty Cổ phần Đầu tư Xây dựng và Vật liệu Đồng Nai,
4.,4.,4.,Công ty Cổ phần Căng Đồng Nai,
5.,5.,5.,Công ty Cổ phần Sonadezi Long Thành,
6.,6.,6.,Công ty Cổ phần Môi trường Sonadezi,
7.,7.,7.,Công ty Cổ phần Sonadezi Giang Điền,
8.,8.,8.,Công ty Cổ phần Sonadezi An Bình,
9.,9.,9.,Công ty Cổ phần Dịch vụ Sonadezi,
10.,10.,10.,Công ty Cổ phần Sonadezi Châu Đức,
11.,11.,11.,Công ty Cổ phần Sonadezi Long Bình,
12.,12.,12.,Công ty Cổ phần Sonadezi Bình Thuận,
13.,13.,13.,Công ty Cổ phần Xây dựng Đồng Nai,
14.,14.,14.,Công ty Cổ phần Sơn Đồng Nai,
15.,15.,15.,Trường Cao đẳng Công nghệ và Quản trị Sonadezi,
16.,16.,16.,Công ty Cổ phần Đầu tư Quốc lô 91 Cần Thơ - An Giang,
17.,17.,17.,Công ty Cổ phần Kinh doanh nhà Đồng Nai,
18.,18.,18.,Công ty TNHH Tiên Triết,
19.,19.,19.,Hôi đồng quản trị và Ban Tổng Giám đốc,
