row_label_raw,row_label_full,col_0,Tại ngày 31/12/2022VND > Giá gốc,Tại ngày 31/12/2022VND > Giá trị hợp lý,Tại ngày 31/12/2022VND > Dự phòng,Tại ngày 01/01/2022VND > Giá gốc,Tại ngày 01/01/2022VND > Giá trị hợp lý,Tại ngày 01/01/2022VND > Dự phòng,numeric__Tại ngày 31/12/2022VND > Giá gốc,numeric__Tại ngày 31/12/2022VND > Giá trị hợp lý,numeric__Tại ngày 31/12/2022VND > Dự phòng,numeric__Tại ngày 01/01/2022VND > Giá gốc,numeric__Tại ngày 01/01/2022VND > Giá trị hợp lý,numeric__Tại ngày 01/01/2022VND > Dự phòng
Đầu tư vào công ty con:,Đầu tư vào công ty con:,Đầu tư vào công ty con:,Đầu tư vào công ty con:,Đầu tư vào công ty con:,Đầu tư vào công ty con:,Đầu tư vào công ty con:,Đầu tư vào công ty con:,Đầu tư vào công ty con:,,,,,,
Công ty Cổ phần,Công ty Cổ phần,Công ty Cổ phần,,,,,,,,,,,,
Cấp nước Đồng Nai,Công ty Cổ phần > Cấp nước Đồng Nai,Cấp nước Đồng Nai,849.100.146.787,2.042.532.072.000,-,849.100.146.787,1.996.459.920.000,-,849100146787.0,2042532072000.0,,849100146787.0,1996459920000.0,
Công ty Cổ phần,Công ty Cổ phần,Công ty Cổ phần,,,,,,,,,,,,
C้าง Đồng Nai,Công ty Cổ phần > C้าง Đồng Nai,C้าง Đồng Nai,242.452.980.000,1.320.581.556.000,-,242.452.980.000,879.443.082.000,-,242452980000.0,1320581556000.0,,242452980000.0,879443082000.0,
Công ty Cổ phần,Công ty Cổ phần,Công ty Cổ phần,,,,,,,,,,,,
Sonadezi Long Thành,Công ty Cổ phần > Sonadezi Long Thành,Sonadezi Long Thành,201.688.600.000,486.305.000.000,-,201.688.600.000,666.493.800.000,-,201688600000.0,486305000000.0,,201688600000.0,666493800000.0,
Công ty Cổ phần,Công ty Cổ phần,Công ty Cổ phần,,,,,,,,,,,,
Phát triển Đô thị Công nghiệp Số 2,Công ty Cổ phần > Phát triển Đô thị Công nghiệp Số 2,Phát triển Đô thị Công nghiệp Số 2,200.655.000.000,398.902.140.000,-,200.655.000.000,1.046.789.352.000,-,200655000000.0,398902140000.0,,200655000000.0,1046789352000.0,
Công ty Cổ phần,Công ty Cổ phần,Công ty Cổ phần,,,,,,,,,,,,
Môi trường Sonadezi,Công ty Cổ phần > Môi trường Sonadezi,Môi trường Sonadezi,197.027.735.730,233.877.974.358,-,197.027.735.730,288.192.690.000,-,197027735730.0,233877974358.0,,197027735730.0,288192690000.0,
Công ty Cổ phần,Công ty Cổ phần,Công ty Cổ phần,,,,,,,,,,,,
Đầu tư Xây dựng và Vật liệu Đồng Nai,Công ty Cổ phần > Đầu tư Xây dựng và Vật liệu Đồng Nai,Đầu tư Xây dựng và Vật liệu Đồng Nai,53.838.407.700,53.478.099.180,-,53.838.407.700,138.580.200.000,-,53838407700.0,53478099180.0,,53838407700.0,138580200000.0,
Cộng,Công ty Cổ phần > Cộng,Cộng,1.744.762.870.217,,-,1.744.762.870.217,,-,1744762870217.0,,,1744762870217.0,,
