row_label_raw,row_label_full,col_0,Tại ngày 31/12/2022VND > Giá gốc,Tại ngày 31/12/2022VND > Giá trị hợp lý,Tại ngày 31/12/2022VND > Dự phòng,Tại ngày 01/01/2022VND > Giá gốc,Tại ngày 01/01/2022VND > Giá trị hợp lý,Tại ngày 01/01/2022VND > Dự phòng,numeric__Tại ngày 31/12/2022VND > Giá gốc,numeric__Tại ngày 31/12/2022VND > Giá trị hợp lý,numeric__Tại ngày 31/12/2022VND > Dự phòng,numeric__Tại ngày 01/01/2022VND > Giá gốc,numeric__Tại ngày 01/01/2022VND > Giá trị hợp lý,numeric__Tại ngày 01/01/2022VND > Dự phòng
Đầu tư vào công ty liên kết:,Đầu tư vào công ty liên kết:,Đầu tư vào công ty liên kết:,Đầu tư vào công ty liên kết:,Đầu tư vào công ty liên kết:,Đầu tư vào công ty liên kết:,Đầu tư vào công ty liên kết:,Đầu tư vào công ty liên kết:,Đầu tư vào công ty liên kết:,,,,,,
Công ty Cổ phần,Công ty Cổ phần,Công ty Cổ phần,,,,,,,,,,,,
Sonadezi Châu Đức,Công ty Cổ phần > Sonadezi Châu Đức,Sonadezi Châu Đức,488.352.527.264,1.227.208.000.000,-,488.352.527.264,3.185.120.000.000,-,488352527264.0,1227208000000.0,,488352527264.0,3185120000000.0,
Công ty Cổ phần,Công ty Cổ phần,Công ty Cổ phần,,,,,,,,,,,,
Sonadezi Giang Điền,Công ty Cổ phần > Sonadezi Giang Điền,Sonadezi Giang Điền,255.000.000.000,822.043.500.000,-,255.000.000.000,634.950.000.000,-,255000000000.0,822043500000.0,,255000000000.0,634950000000.0,
Công ty Cổ phần,Công ty Cổ phần,Công ty Cổ phần,,,,,,,,,,,,
Sonadezi Long Bình,Công ty Cổ phần > Sonadezi Long Bình,Sonadezi Long Bình,172.866.022.000,367.475.500.000,-,172.866.022.000,470.091.300.000,-,172866022000.0,367475500000.0,,172866022000.0,470091300000.0,
Công ty Cổ phần,Công ty Cổ phần,Công ty Cổ phần,,,,,,,,,,,,
Sonadezi Bình Thuận,Công ty Cổ phần > Sonadezi Bình Thuận,Sonadezi Bình Thuận,168.000.000.000,(*),-,168.000.000.000,(*),-,168000000000.0,,,168000000000.0,,
Công ty Cổ phần Đầu tư,Công ty Cổ phần Đầu tư,Công ty Cổ phần Đầu tư,,,,,,,,,,,,
Quốc lộ 91 Cần Thơ - An Giang,Công ty Cổ phần Đầu tư > Quốc lộ 91 Cần Thơ - An Giang,Quốc lộ 91 Cần Thơ - An Giang,112.000.000.000,(*),-,112.000.000.000,(*),-,112000000000.0,,,112000000000.0,,
Trường Cao đẳng Công nghệ,Trường Cao đẳng Công nghệ,Trường Cao đẳng Công nghệ,,,,,,,,,,,,
và Quản trị Sonadezi,Trường Cao đẳng Công nghệ > và Quản trị Sonadezi,và Quản trị Sonadezi,33.436.575.595,(*),-,33.436.575.595,(*),-,33436575595.0,,,33436575595.0,,
Công ty Cổ phần,Công ty Cổ phần,Công ty Cổ phần,,,,,,,,,,,,
Sonadezi An Bình,Công ty Cổ phần > Sonadezi An Bình,Sonadezi An Bình,29.841.520.005,(*),-,29.841.520.005,(*),-,29841520005.0,,,29841520005.0,,
Công ty Cổ phần,Công ty Cổ phần,Công ty Cổ phần,,,,,,,,,,,,
Kinh doanh nhà Đồng Nai,Công ty Cổ phần > Kinh doanh nhà Đồng Nai,Kinh doanh nhà Đồng Nai,21.578.551.008,(*),-,21.578.551.008,(*),-,21578551008.0,,,21578551008.0,,
Công ty Cổ phần,Công ty Cổ phần,Công ty Cổ phần,,,,,,,,,,,,
Dịch vụ Sonadezi,Công ty Cổ phần > Dịch vụ Sonadezi,Dịch vụ Sonadezi,12.600.000.000,30.000.000.000,-,12.600.000.000,28.300.000.000,-,12600000000.0,30000000000.0,,12600000000.0,28300000000.0,
Công ty Cổ phần,Công ty Cổ phần,Công ty Cổ phần,,,,,,,,,,,,
Xây dựng Đồng Nai,Công ty Cổ phần > Xây dựng Đồng Nai,Xây dựng Đồng Nai,10.452.711.215,(*),-,10.886.379.679,(*),-,10452711215.0,,,10886379679.0,,
Công ty Cổ phần Sơn Đồng Nai,Công ty Cổ phần > Công ty Cổ phần Sơn Đồng Nai,Công ty Cổ phần Sơn Đồng Nai,10.295.294.400,19.041.739.200,-,10.295.294.400,18.540.640.800,-,10295294400.0,19041739200.0,,10295294400.0,18540640800.0,
Công,Công ty Cổ phần > Công,Công,1.314.423.201.487,,-,1.314.856.869.951,,-,1314423201487.0,,,1314856869951.0,,
