row_label_raw,row_label_full,Khoản mục,"Nhà cửa,vật kiến trúcVND","Phương tiệnvận tải,truyền đãnVND","Thiết bị,dụng cụquản lýVND",CộngVND,"numeric__Nhà cửa,vật kiến trúcVND","numeric__Phương tiệnvận tải,truyền đãnVND","numeric__Thiết bị,dụng cụquản lýVND",numeric__CộngVND
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Tại ngày 01/01/2022,Nguyên giá: > Tại ngày 01/01/2022,Tại ngày 01/01/2022,3.646.591.259,7.307.357.943,2.925.075.363,13.879.024.565,3646591259.0,7307357943.0,2925075363.0,13879024565.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,-,-,78.703.703,78.703.703,,,78703703.0,78703703.0
Tại ngày 31/12/2022,Nguyên giá: > Tại ngày 31/12/2022,Tại ngày 31/12/2022,3.646.591.259,7.307.357.943,3.003.779.066,13.957.728.268,3646591259.0,7307357943.0,3003779066.0,13957728268.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,
Tại ngày 01/01/2022,Giá trị hao mòn lũy kế: > Tại ngày 01/01/2022,Tại ngày 01/01/2022,3.646.591.259,4.853.133.913,1.790.956.750,10.290.681.922,3646591259.0,4853133913.0,1790956750.0,10290681922.0
Khấu hao trong năm,Giá trị hao mòn lũy kế: > Khấu hao trong năm,Khấu hao trong năm,-,608.870.672,386.169.000,995.039.672,,608870672.0,386169000.0,995039672.0
Tại ngày 31/12/2022,Giá trị hao mòn lũy kế: > Tại ngày 31/12/2022,Tại ngày 31/12/2022,3.646.591.259,5.462.004.585,2.177.125.750,11.285.721.594,3646591259.0,5462004585.0,2177125750.0,11285721594.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Tại ngày 01/01/2022,Giá trị còn lại: > Tại ngày 01/01/2022,Tại ngày 01/01/2022,-,2.454.224.030,1.134.118.613,3.588.342.643,,2454224030.0,1134118613.0,3588342643.0
Tại ngày 31/12/2022,Giá trị còn lại: > Tại ngày 31/12/2022,Tại ngày 31/12/2022,-,1.845.353.358,826.653.316,2.672.006.674,,1845353358.0,826653316.0,2672006674.0
