row_label_raw,row_label_full,col_0,Các khoản mục thuộc vốn chủ sở hữu,Các khoản mục thuộc vốn chủ sở hữu_1,Các khoản mục thuộc vốn chủ sở hữu_2,Các khoản mục thuộc vốn chủ sở hữu_3,Các khoản mục thuộc vốn chủ sở hữu_4,numeric__Các khoản mục thuộc vốn chủ sở hữu,numeric__Các khoản mục thuộc vốn chủ sở hữu_1,numeric__Các khoản mục thuộc vốn chủ sở hữu_2,numeric__Các khoản mục thuộc vốn chủ sở hữu_3,numeric__Các khoản mục thuộc vốn chủ sở hữu_4
,,,Vốn góp của chủ sở hữu VND,Cổ phiếu quỹ VND,Quỹ đầu tư phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Cộng VND,,,,,
Tại ngày 01/01/2021,Tại ngày 01/01/2021,Tại ngày 01/01/2021,3.765.000.000.000,(90.100.000),44.192.605.476,458.618.544.537,4.267.721.050.013,3765000000000.0,-90100000.0,44192605476.0,458618544537.0,4267721050013.0
Lãi trong năm trước,Lãi trong năm trước,Lãi trong năm trước,-,-,-,419.298.871.402,419.298.871.402,,,,419298871402.0,419298871402.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,20.941.835.182,(20.941.835.182),-,,,20941835182.0,-20941835182.0,
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,(8.980.854.536),(8.980.854.536),,,,-8980854536.0,-8980854536.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,(376.491.800.000),(376.491.800.000),,,,-376491800000.0,-376491800000.0
Tại ngày 01/01/2022,Tại ngày 01/01/2022,Tại ngày 01/01/2022,3.765.000.000.000,(90.100.000),65.134.440.658,471.502.926.221,4.301.547.266.879,3765000000000.0,-90100000.0,65134440658.0,471502926221.0,4301547266879.0
Lãi trong năm nay,Lãi trong năm nay,Lãi trong năm nay,-,-,-,455.331.527.507,455.331.527.507,,,,455331527507.0,455331527507.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,20.964.943.570,(20.964.943.570),-,,,20964943570.0,-20964943570.0,
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,(8.266.743.714),(8.266.743.714),,,,-8266743714.0,-8266743714.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,(376.491.800.000),(376.491.800.000),,,,-376491800000.0,-376491800000.0
Tại ngày 31/12/2022,Tại ngày 31/12/2022,Tại ngày 31/12/2022,3.765.000.000.000,(90.100.000),86.099.384.228,521.110.966.444,4.372.120.250.672,3765000000000.0,-90100000.0,86099384228.0,521110966444.0,4372120250672.0
