row_label_raw,row_label_full,Tên,Chức vụ,Năm 2022 VND,Năm 2021 VND,numeric__Chức vụ,numeric__Năm 2022 VND,numeric__Năm 2021 VND
Bà Đỗ Thị Thu Hằng,Bà Đỗ Thị Thu Hằng,Bà Đỗ Thị Thu Hằng,Chủ tịch Hội đồng quản trị,1.330.945.000,1.336.112.620,,1330945000.0,1336112620.0
Ông Trần Thanh Hải,Ông Trần Thanh Hải,Ông Trần Thanh Hải,Thành viên Hội đồng quản trị kiểm Tổng Giám đốc,1.333.452.396,1.199.256.741,,1333452396.0,1199256741.0
Bà Nguyễn Thị Hạnh,Bà Nguyễn Thị Hạnh,Bà Nguyễn Thị Hạnh,Thành viên Hội đồng quản trị kiểm Phó Tổng Giám đốc,1.220.394.396,1.120.866.035,,1220394396.0,1120866035.0
Bà Lương Minh Hiền,Bà Lương Minh Hiền,Bà Lương Minh Hiền,Thành viên Hội đồng quản trị kiểm Phó Tổng Giám đốc,1.125.495.395,602.861.224,,1125495395.0,602861224.0
Ông Đình Ngọc Thuận,Ông Đình Ngọc Thuận,Ông Đình Ngọc Thuận,Thành viên Hội đồng quản trị kiểm Phó Tổng Giám đốc,1.122.865.395,1.067.454.855,,1122865395.0,1067454855.0
Ông Nguyễn Văn Tuấn,Ông Nguyễn Văn Tuấn,Ông Nguyễn Văn Tuấn,Thành viên Hội đồng quản trị,214.861.395,205.658.790,,214861395.0,205658790.0
Ông Phạm Quốc Chí,Ông Phạm Quốc Chí,Ông Phạm Quốc Chí,Thành viên Hội đồng quản trị,214.861.395,205.658.790,,214861395.0,205658790.0
Ông Phan Đình Thám,Ông Phan Đình Thám,Ông Phan Đình Thám,Thành viên Hội đồng quản trị (miễn nhiệm ngày 28/04/2021),,408.015.443,,,408015443.0
Bà Lê Thị Bích Loan,Bà Lê Thị Bích Loan,Bà Lê Thị Bích Loan,Kế toán trưởng,759.348.000,754.363.936,,759348000.0,754363936.0
Cộng,Cộng,Cộng,,7.322.223.372,6.900.248.434,,7322223372.0,6900248434.0
