row_label_raw,row_label_full,CHỈ TIỀU,Mã số,TM,Năm 2022,Năm 2021,numeric__Mã số,numeric__TM,numeric__Năm 2022,numeric__Năm 2021
I. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,,,,
1. Lợi nhuận trước thuế,I. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > 1. Lợi nhuận trước thuế,1. Lợi nhuận trước thuế,01,,455.331.527.507,442.491.900.344,1.0,,455331527507.0,442491900344.0
2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,,,,
Khấu hao TSCĐ và BĐSDĐT,2. Điều chỉnh cho các khoản: > Khấu hao TSCĐ và BĐSDĐT,Khấu hao TSCĐ và BĐSDĐT,02,5.7,3.953.035.278,4.022.562.548,2.0,57.0,3953035278.0,4022562548.0
Các khoản dự phòng,2. Điều chỉnh cho các khoản: > Các khoản dự phòng,Các khoản dự phòng,03,,34.265.353.925,7.423.213.228,3.0,,34265353925.0,7423213228.0
"Lãi, lỗ chênh lệch tỷ giả hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ","2. Điều chỉnh cho các khoản: > Lãi, lỗ chênh lệch tỷ giả hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ","Lãi, lỗ chênh lệch tỷ giả hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",04,,72.905.733,296.223,4.0,,72905733.0,296223.0
"Lãi, lỗ từ hoạt động đầu tư","2. Điều chỉnh cho các khoản: > Lãi, lỗ từ hoạt động đầu tư","Lãi, lỗ từ hoạt động đầu tư",05,,(510.292.730.614),(379.971.930.146),5.0,,-510292730614.0,-379971930146.0
Chi phí lãi vay,2. Điều chỉnh cho các khoản: > Chi phí lãi vay,Chi phí lãi vay,06,,-,359.671.233,6.0,,,359671233.0
Các khoản điều chỉnh khác,2. Điều chỉnh cho các khoản: > Các khoản điều chỉnh khác,Các khoản điều chỉnh khác,07,,5.030.536.276,-,7.0,,5030536276.0,
3. Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,2. Điều chỉnh cho các khoản: > 3. Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,3. Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,08,,(11.639.371.895),74.325.713.430,8.0,,-11639371895.0,74325713430.0
