row_label_raw,row_label_full,col_0,Tại ngày 31/12/2022,Tại ngày 31/12/2022_1,Tại ngày 01/01/2022,Tại ngày 01/01/2022_1,numeric__Tại ngày 31/12/2022,numeric__Tại ngày 31/12/2022_1,numeric__Tại ngày 01/01/2022,numeric__Tại ngày 01/01/2022_1
,,,VND,VND,VND,VND,,,,
,,,Giá trị,Dự phòng,Giá trị,Dự phòng,,,,
Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,,,,
Đầu tư hợp tác kinh doanh với bên liên quan (*),Đầu tư hợp tác kinh doanh với bên liên quan (*),Đầu tư hợp tác kinh doanh với bên liên quan (*),,,,,,,,
- Xem thêm Mục 6,Đầu tư hợp tác kinh doanh với bên liên quan (*) > - Xem thêm Mục 6,- Xem thêm Mục 6,5.713.699.087,-,93.062.403.717,-,5713699087.0,,93062403717.0,
Đặt cọc cho bên liên quan,Đầu tư hợp tác kinh doanh với bên liên quan (*) > Đặt cọc cho bên liên quan,Đặt cọc cho bên liên quan,-,-,1.031.515.500,-,,,1031515500.0,
Dự thu lãi tiền gửi,Đầu tư hợp tác kinh doanh với bên liên quan (*) > Dự thu lãi tiền gửi,Dự thu lãi tiền gửi,20.280.242.000,-,20.591.714.000,-,20280242000.0,,20591714000.0,
Phải thu cổ tức,Đầu tư hợp tác kinh doanh với bên liên quan (*) > Phải thu cổ tức,Phải thu cổ tức,474.300.000,-,474.300.000,-,474300000.0,,474300000.0,
Phải thu Công ty Cổ phần,Phải thu Công ty Cổ phần,Phải thu Công ty Cổ phần,,,,,,,,
Đầu tư Phát triển Cường,Đầu tư Phát triển Cường,Đầu tư Phát triển Cường,,,,,,,,
Thuận IDCO - Mỏ Đá,Thuận IDCO - Mỏ Đá,Thuận IDCO - Mỏ Đá,,,,,,,,
Xuân Hòa,Thuận IDCO - Mỏ Đá > Xuân Hòa,Xuân Hòa,2.567.401.945,-,2.575.197.600,-,2567401945.0,,2575197600.0,
Phải thu khác,Thuận IDCO - Mỏ Đá > Phải thu khác,Phải thu khác,1.035.258.381,-,28.243.161.338,-,1035258381.0,,28243161338.0,
Cộng,Thuận IDCO - Mỏ Đá > Cộng,Cộng,30.070.901.413,-,145.978.292.155,-,30070901413.0,,145978292155.0,
Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,,,,
Đặt cọc cho bên liên quan - Xem thêm Mục 6,Dài hạn: > Đặt cọc cho bên liên quan - Xem thêm Mục 6,Đặt cọc cho bên liên quan - Xem thêm Mục 6,1.074.817.500,-,-,-,1074817500.0,,,
