row_label_raw,row_label_full,BÁO CÁO CỦA BAN TỔNG GIÁM ĐỐC,01 - 02,numeric__01 - 02
BÁO CÁO KIỂM TOÁN ĐỘC LẬP,BÁO CÁO KIỂM TOÁN ĐỘC LẬP,BÁO CÁO KIỂM TOÁN ĐỘC LẬP,03 - 04,
BÁO CÁO TÀI CHÍNH RIÊNG ĐÃ ĐƯỢC KIỂM TOÁN,BÁO CÁO TÀI CHÍNH RIÊNG ĐÃ ĐƯỢC KIỂM TOÁN,BÁO CÁO TÀI CHÍNH RIÊNG ĐÃ ĐƯỢC KIỂM TOÁN,,
Bảng cân đối kế toán,Bảng cân đối kế toán,Bảng cân đối kế toán,05 - 07,
Báo cáo kết quả hoạt động kinh doanh,Bảng cân đối kế toán > Báo cáo kết quả hoạt động kinh doanh,Báo cáo kết quả hoạt động kinh doanh,08,8.0
Báo cáo lưu chuyển tiền tệ,Báo cáo lưu chuyển tiền tệ,Báo cáo lưu chuyển tiền tệ,09 - 10,
Bàn thuyết minh báo cáo tài chính,Bàn thuyết minh báo cáo tài chính,Bàn thuyết minh báo cáo tài chính,11- 43,
