row_label_raw,row_label_full,Khoản mục,Quyền sử dụng đất VND,Phần mềm vi tính VND,Cộng VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm vi tính VND,numeric__Cộng VND
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Tại ngày 01/01/2022,Nguyên giá: > Tại ngày 01/01/2022,Tại ngày 01/01/2022,13.631.953.886,616.886.364,14.248.840.250,13631953886.0,616886364.0,14248840250.0
Giảm khác,Nguyên giá: > Giảm khác,Giảm khác,(7.954.872.480),-,(7.954.872.480),-7954872480.0,,-7954872480.0
Tại ngày 31/12/2022,Nguyên giá: > Tại ngày 31/12/2022,Tại ngày 31/12/2022,5.677.081.406,616.886.364,6.293.967.770,5677081406.0,616886364.0,6293967770.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,
Tại ngày 01/01/2022,Giá trị hao mòn lũy kế: > Tại ngày 01/01/2022,Tại ngày 01/01/2022,4.477.303.038,386.152.568,4.863.455.606,4477303038.0,386152568.0,4863455606.0
Khẩu hao trong năm,Giá trị hao mòn lũy kế: > Khẩu hao trong năm,Khẩu hao trong năm,504.629.460,154.962.000,659.591.460,504629460.0,154962000.0,659591460.0
Giảm khác,Giá trị hao mòn lũy kế: > Giảm khác,Giảm khác,(818.739.456),-,(818.739.456),-818739456.0,,-818739456.0
Tại ngày 31/12/2022,Giá trị hao mòn lũy kế: > Tại ngày 31/12/2022,Tại ngày 31/12/2022,4.163.193.042,541.114.568,4.704.307.610,4163193042.0,541114568.0,4704307610.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Tại ngày 01/01/2022,Giá trị còn lại: > Tại ngày 01/01/2022,Tại ngày 01/01/2022,9.154.650.848,230.733.796,9.385.384.644,9154650848.0,230733796.0,9385384644.0
Tại ngày 31/12/2022,Giá trị còn lại: > Tại ngày 31/12/2022,Tại ngày 31/12/2022,1.513.888.364,75.771.796,1.589.660.160,1513888364.0,75771796.0,1589660160.0
