row_label_raw,row_label_full,Khoản mục,Tại ngày01/01/2022VND,Tăngtrong nămVND,Giảmtrong nămVND,Tại ngày31/12/2022VND,numeric__Tại ngày01/01/2022VND,numeric__Tăngtrong nămVND,numeric__Giảmtrong nămVND,numeric__Tại ngày31/12/2022VND
Bất đông sản đầu tư cho thuê:,Bất đông sản đầu tư cho thuê:,Bất đông sản đầu tư cho thuê:,Bất đông sản đầu tư cho thuê:,Bất đông sản đầu tư cho thuê:,Bất đông sản đầu tư cho thuê:,Bất đông sản đầu tư cho thuê:,,,,
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Hệ thống đường KCN Biên Hòa 1,Nguyên giá: > Hệ thống đường KCN Biên Hòa 1,Hệ thống đường KCN Biên Hòa 1,96.027.990.062,-,-,96.027.990.062,96027990062.0,,,96027990062.0
Hệ thống thoát nước KCN Biên Hòa 1,Nguyên giá: > Hệ thống thoát nước KCN Biên Hòa 1,Hệ thống thoát nước KCN Biên Hòa 1,14.438.070.440,662.515.705,-,15.100.586.145,14438070440.0,662515705.0,,15100586145.0
"Hệ thống điện,camera KCN Biên Hòa 1","Nguyên giá: > Hệ thống điện,camera KCN Biên Hòa 1","Hệ thống điện,camera KCN Biên Hòa 1",3.914.698.943,83.175.852,(34.241.697),3.963.633.098,3914698943.0,83175852.0,-34241697.0,3963633098.0
Nhà xuống KCN Châu Đức,Nguyên giá: > Nhà xuống KCN Châu Đức,Nhà xuống KCN Châu Đức,28.028.023.857,1.872.615.685,-,29.900.639.542,28028023857.0,1872615685.0,,29900639542.0
Cộng,Nguyên giá: > Cộng,Cộng,142.408.783.302,2.618.307.242,(34.241.697),144.992.848.847,142408783302.0,2618307242.0,-34241697.0,144992848847.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,
Hệ thống đường KCN Biên Hòa 1,Giá trị hao mòn lũy kế: > Hệ thống đường KCN Biên Hòa 1,Hệ thống đường KCN Biên Hòa 1,93.914.706.199,719.399.000,-,94.634.105.199,93914706199.0,719399000.0,,94634105199.0
Hệ thống thoát nước KCN Biên Hòa 1,Giá trị hao mòn lũy kế: > Hệ thống thoát nước KCN Biên Hòa 1,Hệ thống thoát nước KCN Biên Hòa 1,14.404.630.223,17.930.108,-,14.422.560.331,14404630223.0,17930108.0,,14422560331.0
Hệ thống điện KCN Biên Hòa 1,Giá trị hao mòn lũy kế: > Hệ thống điện KCN Biên Hòa 1,Hệ thống điện KCN Biên Hòa 1,3.446.286.732,104.911.000,(34.241.697),3.516.956.035,3446286732.0,104911000.0,-34241697.0,3516956035.0
Nhà xuống KCN Châu Đức,Giá trị hao mòn lũy kế: > Nhà xuống KCN Châu Đức,Nhà xuống KCN Châu Đức,1.379.638.000,1.517.935.000,-,2.897.573.000,1379638000.0,1517935000.0,,2897573000.0
Cộng,Giá trị hao mòn lũy kế: > Cộng,Cộng,113.145.261.154,2.360.175.108,(34.241.697),115.471.194.565,113145261154.0,2360175108.0,-34241697.0,115471194565.0
Giá trị còn lai:,Giá trị còn lai:,Giá trị còn lai:,Giá trị còn lai:,Giá trị còn lai:,Giá trị còn lai:,Giá trị còn lai:,,,,
Hệ thống đường KCN Biên Hòa 1,Giá trị còn lai: > Hệ thống đường KCN Biên Hòa 1,Hệ thống đường KCN Biên Hòa 1,2.113.283.863,,,1.393.884.863,2113283863.0,,,1393884863.0
Hệ thống thoát nước KCN Biên Hòa 1,Giá trị còn lai: > Hệ thống thoát nước KCN Biên Hòa 1,Hệ thống thoát nước KCN Biên Hòa 1,33.440.217,,,678.025.814,33440217.0,,,678025814.0
Hệ thống điện KCN Biên Hòa 1,Giá trị còn lai: > Hệ thống điện KCN Biên Hòa 1,Hệ thống điện KCN Biên Hòa 1,468.412.211,,,446.677.063,468412211.0,,,446677063.0
Nhà xuống KCN Châu Đức,Giá trị còn lai: > Nhà xuống KCN Châu Đức,Nhà xuống KCN Châu Đức,26.648.385.857,,,27.003.066.542,26648385857.0,,,27003066542.0
Cộng,Giá trị còn lai: > Cộng,Cộng,29.263.522.148,,,29.521.654.282,29263522148.0,,,29521654282.0
