row_label_raw,row_label_full,col_0,Tại ngày 31/12/2022 > Giá gốc,Tại ngày 31/12/2022 > Giá trịghi sổ,Đvt: Ngàn đồngTại ngày 01/01/2022 > Giá gốc,Đvt: Ngàn đồngTại ngày 01/01/2022 > Giá trịghi sổ,numeric__Tại ngày 31/12/2022 > Giá gốc,numeric__Tại ngày 31/12/2022 > Giá trịghi sổ,numeric__Đvt: Ngàn đồngTại ngày 01/01/2022 > Giá gốc,numeric__Đvt: Ngàn đồngTại ngày 01/01/2022 > Giá trịghi sổ
Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,,,,
Tiền gửi có kỳ hạn gốc06 - 12 tháng,Ngắn hạn: > Tiền gửi có kỳ hạn gốc06 - 12 tháng,Tiền gửi có kỳ hạn gốc06 - 12 tháng,869.880.000,869.880.000,781.295.000,781.295.000,869880000.0,869880000.0,781295000.0,781295000.0
(Xem trang tiếp theo),(Xem trang tiếp theo),(Xem trang tiếp theo),(Xem trang tiếp theo),(Xem trang tiếp theo),(Xem trang tiếp theo),(Xem trang tiếp theo),,,,
