row_label_raw,row_label_full,CHỈ TIÊU,Mã số,TM,Năm 2022,Năm 2021,numeric__Mã số,numeric__TM,numeric__Năm 2022,numeric__Năm 2021
1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,1,5.1,165.955.834.629,198.107.340.905,1.0,51.0,165955834629.0,198107340905.0
2. Doanh thu thuần về bán hàng và cung cấp dịch vụ,2. Doanh thu thuần về bán hàng và cung cấp dịch vụ,2. Doanh thu thuần về bán hàng và cung cấp dịch vụ,10,,165.955.834.629,198.107.340.905,10.0,,165955834629.0,198107340905.0
3. Giá vốn hàng bán,3. Giá vốn hàng bán,3. Giá vốn hàng bán,11,5.2,136.701.032.871,87.885.042.522,11.0,52.0,136701032871.0,87885042522.0
4. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,4. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,4. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,20,,29.254.801.758,110.222.298.383,20.0,,29254801758.0,110222298383.0
5. Doanh thu hoạt động tài chính,5. Doanh thu hoạt động tài chính,5. Doanh thu hoạt động tài chính,21,5.3,517.428.863.638,380.622.060.146,21.0,53.0,517428863638.0,380622060146.0
6. Chi phí tài chính,6. Chi phí tài chính,6. Chi phí tài chính,22,5.4,27.684.343.706,4.906.339.392,22.0,54.0,27684343706.0,4906339392.0
"Trong đó, chi phí lãi vay","Trong đó, chi phí lãi vay","Trong đó, chi phí lãi vay",23,,-,359.671.233,23.0,,,359671233.0
7. Chi phí bán hàng,7. Chi phí bán hàng,7. Chi phí bán hàng,25,,252.381.411,1.612.657.451,25.0,,252381411.0,1612657451.0
8. Chi phí quản lý doanh nghiệp,8. Chi phí quản lý doanh nghiệp,8. Chi phí quản lý doanh nghiệp,26,5.5,51.019.451.039,44.109.977.342,26.0,55.0,51019451039.0,44109977342.0
9. Lợi nhuận thuần từ hoạt động kinh doanh,9. Lợi nhuận thuần từ hoạt động kinh doanh,9. Lợi nhuận thuần từ hoạt động kinh doanh,30,,467.727.489.240,440.215.384.344,30.0,,467727489240.0,440215384344.0
10. Thu nhập khác,10. Thu nhập khác,10. Thu nhập khác,31,,842.460.000,2.276.516.000,31.0,,842460000.0,2276516000.0
11. Chi phí khác,11. Chi phí khác,11. Chi phí khác,32,5.6,13.238.421.733,-,32.0,56.0,13238421733.0,
12. Lợi nhuận khác,12. Lợi nhuận khác,12. Lợi nhuận khác,40,,(12.395.961.733),2.276.516.000,40.0,,-12395961733.0,2276516000.0
13. Tổng lợi nhuận kế toán trước thuế,13. Tổng lợi nhuận kế toán trước thuế,13. Tổng lợi nhuận kế toán trước thuế,50,,455.331.527.507,442.491.900.344,50.0,,455331527507.0,442491900344.0
14. Chi phí thuế TNDN hiện hành,14. Chi phí thuế TNDN hiện hành,14. Chi phí thuế TNDN hiện hành,51,5.8,-,23.193.028.942,51.0,58.0,,23193028942.0
15. Lợi nhuận sau thuế thu nhập doanh nghiệp,15. Lợi nhuận sau thuế thu nhập doanh nghiệp,15. Lợi nhuận sau thuế thu nhập doanh nghiệp,60,,455.331.527.507,419.298.871.402,60.0,,455331527507.0,419298871402.0
