row_label_raw,row_label_full,col_0,Tại ngày31/12/2022VND,Tại ngày01/01/2022VND,numeric__Tại ngày31/12/2022VND,numeric__Tại ngày01/01/2022VND
Nhà xuống khu công nghiệp Châu Đức,Nhà xuống khu công nghiệp Châu Đức,Nhà xuống khu công nghiệp Châu Đức,29.892.328.013,1.360.954.435,29892328013.0,1360954435.0
Chi phí xây dựng dở dang khác,Chi phí xây dựng dở dang khác,Chi phí xây dựng dở dang khác,33.377.692,5.063.913.968,33377692.0,5063913968.0
Cộng,Cộng,Cộng,29.925.705.705,6.424.868.403,29925705705.0,6424868403.0
Chi phí trả trước,Chi phí trả trước,Chi phí trả trước,Chi phí trả trước,Chi phí trả trước,,
,,,Tại ngày31/12/2022VND,Tại ngày01/01/2022VND,,
Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,,
Chi phí khác,Ngắn hạn: > Chi phí khác,Chi phí khác,422.051.307,243.261.360,422051307.0,243261360.0
Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,,
Chi phí đầu tư mặt bằng công nghiệp có hạ tầng kỹ thuật khu công nghiệp Châu Đức,Dài hạn: > Chi phí đầu tư mặt bằng công nghiệp có hạ tầng kỹ thuật khu công nghiệp Châu Đức,Chi phí đầu tư mặt bằng công nghiệp có hạ tầng kỹ thuật khu công nghiệp Châu Đức,111.384.568.850,113.911.481.623,111384568850.0,113911481623.0
Chi phí sửa chữa khu công nghiệp Biên Hòa 1,Dài hạn: > Chi phí sửa chữa khu công nghiệp Biên Hòa 1,Chi phí sửa chữa khu công nghiệp Biên Hòa 1,4.021.627.871,4.216.064.422,4021627871.0,4216064422.0
Công cụ dụng cụ,Dài hạn: > Công cụ dụng cụ,Công cụ dụng cụ,564.197.895,852.677.672,564197895.0,852677672.0
Chi phí khác,Dài hạn: > Chi phí khác,Chi phí khác,1.293.363.691,611.813.691,1293363691.0,611813691.0
Cộng,Dài hạn: > Cộng,Cộng,117.263.758.307,119.592.037.408,117263758307.0,119592037408.0
