row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Số đầu năm
Phải thu khách hàng (TM số 6),Phải thu khách hàng (TM số 6),Phải thu khách hàng (TM số 6),Phải thu khách hàng (TM số 6),Phải thu khách hàng (TM số 6),Phải thu khách hàng (TM số 6),Phải thu khách hàng (TM số 6),,,,
NLG – NNR – HR Fujii,Phải thu khách hàng (TM số 6) > NLG – NNR – HR Fujii,NLG – NNR – HR Fujii,Công ty con,Dịch vụ tổng thầu,27.170.781.000,52.213.562.500,,,27170781000.0,52213562500.0
Nam Long VCD,Phải thu khách hàng (TM số 6) > Nam Long VCD,Nam Long VCD,Công ty con,Dịch vụ tư vấn quản lýThuế văn phòngChuyển nhượng nềnDự án Long An,3.377.340.0026.222.259.72119.479.344.00060.062.970.000,3.377.340.0026.222.259.721-,,,3.377340002622226e+41,
Nguyên Sơn,Phải thu khách hàng (TM số 6) > Nguyên Sơn,Nguyên Sơn,Công ty con,Dịch vụ tư vấn quản lý,35.200.000.000,-,,,35200000000.0,
Nam Long – Hồng Phát,Phải thu khách hàng (TM số 6) > Nam Long – Hồng Phát,Nam Long – Hồng Phát,Công ty con,Phí dịch vụtur vấn quản lý,13.293.294.127,135.451.256,,,13293294127.0,135451256.0
Nguyên Phúc,Phải thu khách hàng (TM số 6) > Nguyên Phúc,Nguyên Phúc,Công ty con,"Lãi phát chậm nộpPhí dịch vụ thi công, tuvấn phát triển dự án",-,4.926.000.000,,,,4926000000.0
Các cá nhân,Phải thu khách hàng (TM số 6) > Các cá nhân,Các cá nhân,Bên liên quan,Bán căn hộ,341.755.097,341.755.097,,,341755097.0,341755097.0
Các công ty khác,Phải thu khách hàng (TM số 6) > Các công ty khác,Các công ty khác,Công ty con,Dịch vụ tư vấn quản lý,1.800.513.756,8.577.506.196,,,1800513756.0,8577506196.0
,,,,,166.948.257.703,78.674.983.882,,,166948257703.0,78674983882.0
Trà trước cho người bán ngắn hạn (TM số 7),Trà trước cho người bán ngắn hạn (TM số 7),Trà trước cho người bán ngắn hạn (TM số 7),Trà trước cho người bán ngắn hạn (TM số 7),Trà trước cho người bán ngắn hạn (TM số 7),Trà trước cho người bán ngắn hạn (TM số 7),Trà trước cho người bán ngắn hạn (TM số 7),,,,
Sản Giao Dịch Nam Long,Trà trước cho người bán ngắn hạn (TM số 7) > Sản Giao Dịch Nam Long,Sản Giao Dịch Nam Long,Công ty con,Dịch vụ quản lý,3.655.705.061,4.362.622.817,,,3655705061.0,4362622817.0
Nam Viên,Trà trước cho người bán ngắn hạn (TM số 7) > Nam Viên,Nam Viên,Công ty con gián tiếp,Dịch vụ quản lý,149.427.000,-,,,149427000.0,
Nam Long PMD,Trà trước cho người bán ngắn hạn (TM số 7) > Nam Long PMD,Nam Long PMD,Công ty con,Dịch vụ quản lý,-,183.923.300,,,,183923300.0
,,,,,3.805.132.061,4.546.546.117,,,3805132061.0,4546546117.0
Phải thu cho vay (TM số 8),Phải thu cho vay (TM số 8),Phải thu cho vay (TM số 8),Phải thu cho vay (TM số 8),Phải thu cho vay (TM số 8),Phải thu cho vay (TM số 8),Phải thu cho vay (TM số 8),,,,
Nam Long VCD,Phải thu cho vay (TM số 8) > Nam Long VCD,Nam Long VCD,Công ty con,Cho vay,209.474.190.411,218.876.890.411,,,209474190411.0,218876890411.0
Nam Long - Hồng Phát,Phải thu cho vay (TM số 8) > Nam Long - Hồng Phát,Nam Long - Hồng Phát,Công ty con,Cho vay,-,28.664.682.000,,,,28664682000.0
,,,,,209.474.190.411,247.541.572.411,,,209474190411.0,247541572411.0
