row_label_raw,row_label_full,col_0,Bảng cân đối kế toán riêng,Bảng cân đối kế toán riêng_1,Báo cáo kết quả hoạt động kinh doanh riêng,Báo cáo kết quả hoạt động kinh doanh riêng_1,numeric__Bảng cân đối kế toán riêng,numeric__Bảng cân đối kế toán riêng_1,numeric__Báo cáo kết quả hoạt động kinh doanh riêng,numeric__Báo cáo kết quả hoạt động kinh doanh riêng_1
,,,Số cuối năm,Số đầu năm,Năm nay,Năm trước,,,,
Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,,,,
Chi phí phải trả,Tài sản thuế TNDN hoãn lại > Chi phí phải trả,Chi phí phải trả,12.778.633.957,4.801.168.528,7.977.465.431,(371.822.054),12778633957.0,4801168528.0,7977465431.0,-371822054.0
Chênh lệch giá vốn hàng bán,Tài sản thuế TNDN hoãn lại > Chênh lệch giá vốn hàng bán,Chênh lệch giá vốn hàng bán,1.902.829.419,1.583.385.029,319.444.390,1.056.953.968,1902829419.0,1583385029.0,319444390.0,1056953968.0
Khác,Tài sản thuế TNDN hoãn lại > Khác,Khác,647.954.204,647.954.204,-,(207.093.598),647954204.0,647954204.0,,-207093598.0
,,,15.329.417.580,7.032.507.761,,,15329417580.0,7032507761.0,,
Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,,,,
Lỗ thuế hoãn lại,Thuế TNDN hoãn lại phải trả > Lỗ thuế hoãn lại,Lỗ thuế hoãn lại,-,(2.696.372.479),2.696.372.479,-,,-2696372479.0,2696372479.0,
Chênh lệch giá vốn hàng bán,Thuế TNDN hoãn lại phải trả > Chênh lệch giá vốn hàng bán,Chênh lệch giá vốn hàng bán,-,-,-,6.345.480.360,,,,6345480360.0
,,,-,(2.696.372.479),,,,-2696372479.0,,
Thu nhập thuế TNDN hoãn lại,Thuế TNDN hoãn lại phải trả > Thu nhập thuế TNDN hoãn lại,Thu nhập thuế TNDN hoãn lại,Thu nhập thuế TNDN hoãn lại,Thu nhập thuế TNDN hoãn lại,10.993.282.300,6.823.518.676,,,10993282300.0,6823518676.0
