row_label_raw,row_label_full,"Phải thu các bên liên quan(Thuyết minh (""TM"") số 26)",Số cuối năm > 166.948.257.703,VND Số đầu năm > 78.674.983.882,numeric__Số cuối năm > 166.948.257.703,numeric__VND Số đầu năm > 78.674.983.882
Phải thu các khách hàng khác,Phải thu các khách hàng khác,Phải thu các khách hàng khác,78.376.387.099,256.789.333.126,78376387099.0,256789333126.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,245.324.644.802,335.464.317.008,245324644802.0,335464317008.0
Dự phòng phải thu ngắn hạn khó đòi,Dự phòng phải thu ngắn hạn khó đòi,Dự phòng phải thu ngắn hạn khó đòi,(185.761.495),(185.761.495),-185761495.0,-185761495.0
GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,245.138.883.307,335.278.555.513,245138883307.0,335278555513.0
