row_label_raw,row_label_full,Trong đó :,Trong đó :_1,numeric__Trong đó :_1
Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,99.522.177.000,99522177000.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,228.548.210.000,228548210000.0
