row_label_raw,row_label_full,Công ty Cổ phần Phát triển Nhà Bắc Trung Nam,Số cuối năm > 2.000.000.000,VND Số đầu năm > 2.000.000.000,numeric__Số cuối năm > 2.000.000.000,numeric__VND Số đầu năm > 2.000.000.000
Dự án Cần Thơ – Hồng Phát,Dự án Cần Thơ – Hồng Phát,Dự án Cần Thơ – Hồng Phát,-,49.966.429.146,,49966429146.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,2.000.000.000,51.966.429.146,2000000000.0,51966429146.0
