row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Quỹ đầu tư phát triển,Quyền chọn chuyển đổi trái phiếu,Lợi nhuận sau thuế chưa phân phối,Tổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Quỹ đầu tư phát triển,numeric__Quyền chọn chuyển đổi trái phiếu,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,1.415.721.570.000,492.337.147.061,5.940.860.165,-,266.837.657.808,2.180.837.235.034,1415721570000.0,492337147061.0,5940860165.0,,266837657808.0,2180837235034.0
Phát hành cổ phiếu,Năm trước > Phát hành cổ phiếu,Phát hành cổ phiếu,5.423.530.000,(176.000.000),-,-,-,5.247.530.000,5423530000.0,-176000000.0,,,,5247530000.0
Phát hành trái phiếu chuyển đổi,Năm trước > Phát hành trái phiếu chuyển đổi,Phát hành trái phiếu chuyển đổi,-,-,-,40.503.427.830,-,40.503.427.830,,,,40503427830.0,,40503427830.0
Lợi nhuận thuần trong năm,Năm trước > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,178.773.179.933,178.773.179.933,,,,,178773179933.0,178773179933.0
Cổ tức bằng tiền công bố,Năm trước > Cổ tức bằng tiền công bố,Cổ tức bằng tiền công bố,-,-,-,-,(102.350.143.251),(102.350.143.251),,,,,-102350143251.0,-102350143251.0
"Trích lập quỹ khen thưởng, phúc lợi","Năm trước > Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi",-,-,-,-,(13.160.000.000),(13.160.000.000),,,,,-13160000000.0,-13160000000.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,1.421.145.100.000,492.161.147.061,5.940.860.165,40.503.427.830,330.100.694.490,2.289.851.229.546,1421145100000.0,492161147061.0,5940860165.0,40503427830.0,330100694490.0,2289851229546.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,1.421.145.100.000,492.161.147.061,5.940.860.165,40.503.427.830,330.100.694.490,2.289.851.229.546,1421145100000.0,492161147061.0,5940860165.0,40503427830.0,330100694490.0,2289851229546.0
Cổ tức bằng cổ phiếu công bố(i),Năm nay > Cổ tức bằng cổ phiếu công bố(i),Cổ tức bằng cổ phiếu công bố(i),141.537.390.000,-,-,-,(141.537.390.000),-,141537390000.0,,,,-141537390000.0,
Phát hành cổ phiếu (i),Năm nay > Phát hành cổ phiếu (i),Phát hành cổ phiếu (i),9.581.600.000,(110.000.000),-,-,-,9.471.600.000,9581600000.0,-110000000.0,,,,9471600000.0
Lợi nhuận thuần trong năm,Năm nay > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,581.151.289.209,581.151.289.209,,,,,581151289209.0,581151289209.0
Cổ tức bằng tiền công bố (ii),Năm nay > Cổ tức bằng tiền công bố (ii),Cổ tức bằng tiền công bố (ii),-,-,-,-,(70.762.455.015),(70.762.455.015),,,,,-70762455015.0,-70762455015.0
"Trích lập quỹ khen thưởng, phúc lợi (i)","Năm nay > Trích lập quỹ khen thưởng, phúc lợi (i)","Trích lập quỹ khen thưởng, phúc lợi (i)",-,-,-,-,(22.790.000.000),(22.790.000.000),,,,,-22790000000.0,-22790000000.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,1.572.264.090.000,492.051.147.061,5.940.860.165,40.503.427.830,676.162.138.684,2.786.921.663.740,1572264090000.0,492051147061.0,5940860165.0,40503427830.0,676162138684.0,2786921663740.0
