row_label_raw,row_label_full,Tên đơn vị,Lĩnh vực kinh doanh,Số cuối năm > Tỷ lệ sở hữu %,Số cuối năm > Giế gốc đầu tư VND,Số đầu năm > Tỷ lệ sở hữu %,Số đầu năm > Giế gốc đầu tư VND,numeric__Lĩnh vực kinh doanh,numeric__Số cuối năm > Tỷ lệ sở hữu %,numeric__Số cuối năm > Giế gốc đầu tư VND,numeric__Số đầu năm > Tỷ lệ sở hữu %,numeric__Số đầu năm > Giế gốc đầu tư VND
Công ty Cổ phần NNH Mizuki (i),Công ty Cổ phần NNH Mizuki (i),Công ty Cổ phần NNH Mizuki (i),Bất động sản,50,750.000.000.000,-,-,,50.0,750000000000.0,,
Công ty TNHH Phát triển Gamuda - Nam Long,Công ty TNHH Phát triển Gamuda - Nam Long,Công ty TNHH Phát triển Gamuda - Nam Long,Bất động sản,-,-,30,22.400.000.000,,,,30.0,22400000000.0
,,,,750.000.000.000,750.000.000.000,22.400.000.000,22.400.000.000,,750000000000.0,750000000000.0,22400000000.0,22400000000.0
