row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Số đầu năm
Vay ngắn hạn (TM số 17),Vay ngắn hạn (TM số 17),Vay ngắn hạn (TM số 17),Vay ngắn hạn (TM số 17),Vay ngắn hạn (TM số 17),Vay ngắn hạn (TM số 17),Vay ngắn hạn (TM số 17),,,,
Nam Phan,Vay ngắn hạn (TM số 17) > Nam Phan,Nam Phan,Công ty con,Vay,614.000.000.000,188.000.000.000,,,614000000000.0,188000000000.0
Nguyên Sơn,Vay ngắn hạn (TM số 17) > Nguyên Sơn,Nguyên Sơn,Công ty con,Vay,585.050.502.548,270.000.000.000,,,585050502548.0,270000000000.0
Nam Long ADC,Vay ngắn hạn (TM số 17) > Nam Long ADC,Nam Long ADC,Công ty con,Vay,29.000.000.000,28.000.000.000,,,29000000000.0,28000000000.0
Nam Long - Hồng Phát,Vay ngắn hạn (TM số 17) > Nam Long - Hồng Phát,Nam Long - Hồng Phát,Công ty con,Vay,20.000.000.000,-,,,20000000000.0,
,,,,,1.248.050.502.548,486.000.000.000,,,1248050502548.0,486000000000.0
Chi phí phải trả ngắn hạn (TM số 15),Chi phí phải trả ngắn hạn (TM số 15),Chi phí phải trả ngắn hạn (TM số 15),Chi phí phải trả ngắn hạn (TM số 15),Chi phí phải trả ngắn hạn (TM số 15),Chi phí phải trả ngắn hạn (TM số 15),Chi phí phải trả ngắn hạn (TM số 15),,,,
Nam Phan,Chi phí phải trả ngắn hạn (TM số 15) > Nam Phan,Nam Phan,Công ty con,Lãi vay,37.535.722.219,4.573.472.223,,,37535722219.0,4573472223.0
Nguyên Sơn,Chi phí phải trả ngắn hạn (TM số 15) > Nguyên Sơn,Nguyên Sơn,Công ty con,Lãi vay,30.954.643.685,233.333.333,,,30954643685.0,233333333.0
Nam Long Hồng Phát,Chi phí phải trả ngắn hạn (TM số 15) > Nam Long Hồng Phát,Nam Long Hồng Phát,Công ty con,Lãi vay,1.520.555.555,-,,,1520555555.0,
Nam Long ADC,Chi phí phải trả ngắn hạn (TM số 15) > Nam Long ADC,Nam Long ADC,Công ty con,Lãi vay,1.185.795.000,589.151.000,,,1185795000.0,589151000.0
,,,,,71.196.716.459,5.395.956.556,,,71196716459.0,5395956556.0
