row_label_raw,row_label_full,col_0,Chi phí thực tế đã phát sinh,Giá trị trích trước vào chi phí vào ngày 31 tháng 12 năm 2017,Tổng cộng giá vốn ghi nhận trong năm,Chi phí thực tế đã phát sinh_1,Giá trị trích trước vào chi phí vào ngày 31 tháng 12 năm 2016,Tổng cộng giá vốn ghi nhận trong năm_1,numeric__Chi phí thực tế đã phát sinh,numeric__Giá trị trích trước vào chi phí vào ngày 31 tháng 12 năm 2017,numeric__Tổng cộng giá vốn ghi nhận trong năm,numeric__Chi phí thực tế đã phát sinh_1,numeric__Giá trị trích trước vào chi phí vào ngày 31 tháng 12 năm 2016,numeric__Tổng cộng giá vốn ghi nhận trong năm_1
Giá vốn thi công xây dựng,Giá vốn thi công xây dựng,Giá vốn thi công xây dựng,626.326.391.512,37.454.890.636,663.781.282.148,312.930.646.731,242.025.899.965,554.956.546.696,626326391512.0,37454890636.0,663781282148.0,312930646731.0,242025899965.0,554956546696.0
"Giá vốn đất, căn hộ, nhà phố và biệt thụ","Giá vốn đất, căn hộ, nhà phố và biệt thụ","Giá vốn đất, căn hộ, nhà phố và biệt thụ",146.911.857.189,-,146.911.857.189,1.250.362.235.873,144.083.335.673,1.394.445.571.546,146911857189.0,,146911857189.0,1250362235873.0,144083335673.0,1394445571546.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,773.238.248.701,37.454.890.636,810.693.139.337,1.563.292.882.604,386.109.235.638,1.949.402.118.242,773238248701.0,37454890636.0,810693139337.0,1563292882604.0,386109235638.0,1949402118242.0
