row_label_raw,row_label_full,Ông Chu Chee Kwang,Tổng Giám đốc,numeric__Tổng Giám đốc
Ông Châu Quang Phúc,Ông Châu Quang Phúc,Ông Châu Quang Phúc,Giám đốc Tài chính,
Bà Nguyễn Thanh Hương,Bà Nguyễn Thanh Hương,Bà Nguyễn Thanh Hương,Giám đốc Đầu tư,
