row_label_raw,row_label_full,Chi phí thuế TNDN hiện hànhĐiều chỉnh thuế TNDN trích (thừa) thiềutrong những năm trước,Năm nay > 507.011.850.827 > (1.031.501.089),VNDNăm trước > 381.026.275.446 > 746.986.423,numeric__Năm nay > 507.011.850.827 > (1.031.501.089),numeric__VNDNăm trước > 381.026.275.446 > 746.986.423
Thu nhập thuế TNDN hoãn lại,Thu nhập thuế TNDN hoãn lại,Thu nhập thuế TNDN hoãn lại,(3.685.247.085),(2.783.512.358),-3685247085.0,-2783512358.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,502.295.102.653,378.989.749.511,502295102653.0,378989749511.0
