row_label_raw,row_label_full,Bên vay,Số cuối năm VND,Kỳ hạn trả gốc,Hình thức đảm bảo,numeric__Số cuối năm VND,numeric__Kỳ hạn trả gốc,numeric__Hình thức đảm bảo
Công ty Cổ Phần Phú Tâm Minh,Công ty Cổ Phần Phú Tâm Minh,Công ty Cổ Phần Phú Tâm Minh,Công ty Cổ Phần Phú Tâm Minh,Công ty Cổ Phần Phú Tâm Minh,Công ty Cổ Phần Phú Tâm Minh,,,
01/2019/HĐCVV/HAL,Công ty Cổ Phần Phú Tâm Minh > 01/2019/HĐCVV/HAL,01/2019/HĐCVV/HAL,334.230.000.000,Ngày 25 tháng 4 năm 2020,Tín chấp,334230000000.0,,
Công ty Cổ phần Grand Property,Công ty Cổ phần Grand Property,Công ty Cổ phần Grand Property,Công ty Cổ phần Grand Property,Công ty Cổ phần Grand Property,Công ty Cổ phần Grand Property,,,
0410/2019/HĐCVV/DXS-GP,Công ty Cổ phần Grand Property > 0410/2019/HĐCVV/DXS-GP,0410/2019/HĐCVV/DXS-GP,175.460.000.000,Ngày 4 tháng 2 năm 2020,Tín chấp,175460000000.0,,
01/2019/HĐCVV/HA-GP,Công ty Cổ phần Grand Property > 01/2019/HĐCVV/HA-GP,01/2019/HĐCVV/HA-GP,143.000.000.000,Ngày 23 tháng 1 năm 2020,Tín chấp,143000000000.0,,
Lê Minh Cường,Lê Minh Cường,Lê Minh Cường,Lê Minh Cường,Lê Minh Cường,Lê Minh Cường,,,
2512/2019/BB-LMC,Lê Minh Cường > 2512/2019/BB-LMC,2512/2019/BB-LMC,3.271.500.000,Ngày 25 tháng 12 năm 2020,Tín chấp,3271500000.0,,
Nha Trang Petrol,Nha Trang Petrol,Nha Trang Petrol,Nha Trang Petrol,Nha Trang Petrol,Nha Trang Petrol,,,
3110/2018/HĐCVV/DXG-DKNT,Nha Trang Petrol > 3110/2018/HĐCVV/DXG-DKNT,3110/2018/HĐCVV/DXG-DKNT,1.254.934.820,Từ ngày 31 tháng 12 năm 2019 đến ngày 24 tháng 6 năm 2020,Tín chấp,1254934820.0,,
Khác,Nha Trang Petrol > Khác,Khác,2.123.464.715,Từ ngày 26 tháng 12 năm 2020 đến ngày 27 tháng 12 năm 2020,Tín chấp,2123464715.0,,
TỔNG CỘNG,Nha Trang Petrol > TỔNG CỘNG,TỔNG CỘNG,659.339.899.535,,,659339899535.0,,
