row_label_raw,row_label_full,LDG,Công ty liên kết,Ứng tiền nhận chuyển nhượng dự án Vốn góp HĐHTKD,489.740.000.000,col_4,numeric__Công ty liên kết,numeric__Ứng tiền nhận chuyển nhượng dự án Vốn góp HĐHTKD,numeric__489.740.000.000,numeric__col_4
LDG,LDG,LDG,Công ty liên kết,dài hạn Ký quỹ Chi hộ Lãi từ cho vay,162.712.506.018 7.000.000.000 2.606.672.527 -,141.540.118.870 9.481.796.659 5.096.885.041 5.550.666.665,,,,
Ông Lương Trí Tú,LDG > Ông Lương Trí Tú,Ông Lương Trí Tú,Cổ đông,Ứng tiền nhận chuyển nhượng đất Tạm ứng,10.417.011.838 1.813.713.900,- 2.316.920.390,,,,-2316920390.0
Ông Nguyễn Trường Sơn,LDG > Ông Nguyễn Trường Sơn,Ông Nguyễn Trường Sơn,Phó TGD,Tạm ứng,7.014.000.000,7.014.000.000,,,7014000000.0,7014000000.0
Ông Trần Công Luận,LDG > Ông Trần Công Luận,Ông Trần Công Luận,Phó TGD,Tạm ứng,1.549.000.000,1.469.000.000,,,1549000000.0,1469000000.0
Ông Nguyễn Khánh Hưng,LDG > Ông Nguyễn Khánh Hưng,Ông Nguyễn Khánh Hưng,Phó Chủ tịch HĐQT,Tạm ứng,398.822.600,2.922.600,,,398822600.0,2922600.0
Đất Xanh Premium,LDG > Đất Xanh Premium,Đất Xanh Premium,Bên liên quan,Khác,-,31.320.000,,,,31320000.0
Nha Trang Petrol,LDG > Nha Trang Petrol,Nha Trang Petrol,Bên liên quan,Lãi từ cho vay,-,12.144.139,,,,12144139.0
,,,,,683.251.726.883,172.515.774.364,,,683251726883.0,172515774364.0
