row_label_raw,row_label_full,LDG,Công ty liên kết,Nhận vốn gópHĐHTKD,316.250.000.000,-,numeric__Công ty liên kết,numeric__Nhận vốn gópHĐHTKD,numeric__316.250.000.000,numeric__-
LDG,LDG,LDG,Công ty liên kết,Nhận ký quỹHĐHTKD,30.866.645.000,-,,,30866645000.0,
LDG,LDG,LDG,Công ty liên kết,Nhận đặt cọcchuyển nhượngcổ phầnThu hộTạm ứng,22.078.247.0142.563.000.008210.000.000,-264.450.000,,,2.20782470142563e+29,-264450000.0
Đất Xanh Premium,Đất Xanh Premium,Đất Xanh Premium,Bên liên quan,Ký quỹKhác,1.200.000.000-,-400.000.000,,,,-400000000.0
Ông LươngTrí Thảo,Ông LươngTrí Thảo,Ông LươngTrí Thảo,Thành viênHĐQT,Khác,418.284.000,552.459.000,,,418284000.0,552459000.0
Ông NguyễnTrường Sơn,Ông NguyễnTrường Sơn,Ông NguyễnTrường Sơn,Phó TGD,Khác,50.000.000,-,,,50000000.0,
Ông LươngTrí Thìn,Ông LươngTrí Thìn,Ông LươngTrí Thìn,Chủ tịchHĐQT,Khác,42.000.000,42.000.000,,,42000000.0,42000000.0
Ông Lương Trí Tú,Ông Lương Trí Tú,Ông Lương Trí Tú,Cổ đông,Khác,-,26.981.680,,,,26981680.0
,,,,,373.678.176.022,1.285.890.680,,,373678176022.0,1285890680.0
