row_label_raw,row_label_full,Tên công ty con,Tên công ty con_1,Lĩnh vực kinh doanh hoạt động,Lĩnh vực kinh doanh hoạt động_1,Tỷ lệ biểu quyết,Tỷ lệ biểu quyết_1,numeric__Tên công ty con_1,numeric__Lĩnh vực kinh doanh hoạt động,numeric__Lĩnh vực kinh doanh hoạt động_1,numeric__Tỷ lệ biểu quyết,numeric__Tỷ lệ biểu quyết_1
Tên công ty con,Tên công ty con,Tên công ty con,Tên công ty con,Lĩnh vực kinh doanh hoạt động,Lĩnh vực kinh doanh hoạt động,Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2018,,,,,
,,,,,,(%),(%),,,,,
(22),Tên công ty con > (22),(22),"Công ty Cổ phần Đất Xanh Đà Nẵng (""Đất Xanh Đà Nẵng"")",Kinh doanh và môi giới BĐS,Đang hoạt động,51,51,,,,51.0,51.0
(23),Tên công ty con > (23),(23),"Công ty Cổ phần Đất Xanh Nam Miền Trung (""Đất Xanh Nam Miền Trung"")",Kinh doanh và môi giới BĐS,Đang hoạt động,51,51,,,,51.0,51.0
(24),Tên công ty con > (24),(24),"Công ty TNHH MTV Smart City (""Smart City"")",Kinh doanh BĐS,Đang hoạt động,100,100,,,,100.0,100.0
(25),Tên công ty con > (25),(25),"Công ty Cổ phần Đầu tư Bất động sản Miền Bắc (""DXI"") (trước đây là Công ty TNHH Đầu tư Bất động sản Đất Xanh)",Kinh doanh và môi giới BĐS,Đang hoạt động,100,100,,,,100.0,100.0
(26),Tên công ty con > (26),(26),"Công ty Cổ phần Dịch vụ và Địa ốc Đất Xanh Duyên Hải (""Đất Xanh Duyên Hải"") (trước đây là Công ty Cổ phần Dịch vụ và Địa ốc Đất Xanh Quảng Ninh)",Kinh doanh và môi giới BĐS,Đang hoạt động,51,"53,38",,,,51.0,53.38
(27),Tên công ty con > (27),(27),"Công ty Cổ phần Đầu tư Kinh doanh Bất động sản Hà An (""Hà An"")",Kinh doanh BĐS,Đang hoạt động,"99,99","99,99",,,,99.99,99.99
(28),Tên công ty con > (28),(28),"Công ty Cổ phần Đất Xanh Nam Bộ (""Đất Xanh Nam Bộ"") (trước đây là Công ty Cổ phần Đất Xanh Long An)",Kinh doanh và môi giới BĐS,Đang hoạt động,51,51,,,,51.0,51.0
(29),Tên công ty con > (29),(29),"Công ty Cổ phần Đầu tư và Dịch vụ City Real (""City Real"") (trước đây là Công ty Cổ phần Đất Xanh Thành Phố)",Kinh doanh và môi giới BĐS,Đang hoạt động,60,60,,,,60.0,60.0
(30),Tên công ty con > (30),(30),"Công ty Cổ phần Đầu tư và Dịch vụ Saigon Real (""Saigon Real"") (trước đây là Công ty Cổ phần Đất Xanh Sài Gòn)",Kinh doanh và môi giới BĐS,Đang hoạt động,60,60,,,,60.0,60.0
(31),Tên công ty con > (31),(31),"Công ty Cổ phần Công Nghệ Bất động sản Việt Nam (""Công Nghệ BĐS"")",Phát triển công nghệ,Đang hoạt động,"50,99","50,99",,,,50.99,50.99
(32),Tên công ty con > (32),(32),"Công ty Cổ phần Đất Xanh Miền Trung Emerald (""Đất Xanh Miền Trung Emerald"")",Kinh doanh và môi giới BĐS,Đang hoạt động,51,-,,,,51.0,
(33),Tên công ty con > (33),(33),"Công ty TNHH MTV Đất Xanh Quảng Ngãi (""Đất Xanh Quảng Ngãi"")",Kinh doanh và môi giới BĐS,Đang hoạt động,100,-,,,,100.0,
(34),Tên công ty con > (34),(34),"Công ty Cổ phần Đầu tư và Dịch vụ Đất Xanh Miền Đông (""Đất Xanh Miền Đông"") (trước đây là Công ty Cổ phần Đầu tư và Dịch vụ Bất động sản Đất Xanh Central)",Kinh doanh và môi giới BĐS,Đang hoạt động,51,-,,,,51.0,
