row_label_raw,row_label_full,col_0,Số cuối năm,VND Số đầu năm,numeric__Số cuối năm,numeric__VND Số đầu năm
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Vốn góp HĐHTKD với bên liên quan (ii),Dài hạn > Vốn góp HĐHTKD với bên liên quan (ii),Vốn góp HĐHTKD với bên liên quan (ii),167.727.506.018,141.540.118.870,167727506018.0,141540118870.0
"Ký quỹ, ký cược","Dài hạn > Ký quỹ, ký cược","Ký quỹ, ký cược",2.720.063.000,3.374.570.550,2720063000.0,3374570550.0
Khác,Dài hạn > Khác,Khác,1.615.951.937,421.227.463,1615951937.0,421227463.0
,,,172.063.520.955,145.335.916.883,172063520955.0,145335916883.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,5.732.176.167.758,3.703.144.857.661,5732176167758.0,3703144857661.0
Dự phòng phải thu khác (Thuyết minh số 11),Dài hạn > Dự phòng phải thu khác (Thuyết minh số 11),Dự phòng phải thu khác (Thuyết minh số 11),(8.754.886.323),(9.124.886.323),-8754886323.0,-9124886323.0
GIÁ TRỊ THUÀN,Dài hạn > GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,5.723.421.281.435,3.694.019.971.338,5723421281435.0,3694019971338.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu bên khác,Trong đó: > Phải thu bên khác,Phải thu bên khác,5.048.924.440.875,3.530.629.083.297,5048924440875.0,3530629083297.0
Phải thu bên liên quan (Thuyết minh số 34),Trong đó: > Phải thu bên liên quan (Thuyết minh số 34),Phải thu bên liên quan (Thuyết minh số 34),683.251.726.883,172.515.774.364,683251726883.0,172515774364.0
