row_label_raw,row_label_full,col_0,VNDNhà cửa vàvật kiến trúc,numeric__VNDNhà cửa vàvật kiến trúc
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,49.782.198.221,49782198221.0
Mua mới,Nguyên giá: > Mua mới,Mua mới,40.572.385.942,40572385942.0
Kết chuyển từ hàng tồn kho,Nguyên giá: > Kết chuyển từ hàng tồn kho,Kết chuyển từ hàng tồn kho,8.440.043.773,8440043773.0
Thanh lý,Nguyên giá: > Thanh lý,Thanh lý,(1.895.775.566),-1895775566.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,96.898.852.370,96898852370.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(2.754.318.988),-2754318988.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,(1.810.707.331),-1810707331.0
Thanh lý,Giá trị khấu hao lũy kế: > Thanh lý,Thanh lý,107.982.577,107982577.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(4.457.043.742),-4457043742.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,47.027.879.233,47027879233.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,92.441.808.628,92441808628.0
